la-oll-a	laol-l-a
n-aletsana	nal-ets-an-a
hlakol-a	hlakol-a
le	le
efe	efe
sa	sa
hlok-ahal-e-ng	hlok-ahal-e-ng
n-karolo-ng	n-karolong
ya	y-a
phatlalatso	phatlalatso
bolel-a	bolel-a
tse	tse
latel-a-ng	latel-a-ng
di-tlhaku	di-tlhaku
tsa	ts-a
pele	pele
tsa	ts-a
ma-bitso	ma-bitso
le	le
se-fane	fane
ya	y-a
mo-tho	mo-tho
ya	y-a
ets-a-ng	ets-a-ng
n-kopo	n-kopo
ya	y-a
laesense	la-esense
ma-emo	ma-emo
mo-tho	mo-tho
ya	y-a
ets-a-ng	ets-a-ng
n-kopo	n-kopo
mo-hlala	mo-hlala
mo-laodi	mo-laodi
mo-okamedi	mo-okamedi
mo-nga	monga
mo-tho	mo-tho
ya	y-a
ets-a-ng	ets-a-ng
n-kopo	n-kopo
tlam-eh-a	tlam-eh-a
ho	ho
saen-a	saena
foromo	foromo
ya	y-a
n-kopo	n-kopo
le-tsatsi	le-tsatsi
leo	leo
n-kopo	n-kopo
saen-n-w-e-ng	saen-n-w-e-ng
ka	ka
lona	lona
se-baka	se-baka
seo	se-o
n-kopo	n-kopo
saen-n-w-e-ng	saen-n-w-e-ng
ho	ho
sona	sona
tla-ts-a	tla-ts-a
foromo	foromo
ya	y-a
n-kopo	n-kopo
mme	mo-mme
rom-el-e	rom-el-e
ofisi-ng	ofising
haufi	haufi
ya	y-a
hok-el-a	hok-el-a
foromo-ng	foromong
ya	y-a
n-kopo	n-kopo
di-tokomane	di-tokomane
tse	tse
latel-a-ng	latel-a-ng
tsa	ts-a
se-thatho	se-thatho
kapa	kap-a
di-kopi	di-kopi
tse	tse
ti-is-el-ed-its-w-e-ng	ti-is-el-ed-its-w-e-ng
le-ngolo	le-ngolo
la	la
bo-paki	bopaki
la	la
ngodiso	n-ngodiso
ya	y-a
n-kgwebo	n-kgwebo
jwalo	jwalo
ka	ka
ha	ha
le	le
ntsh-its-w-e	ntsh-its-w-e
ke	ke
mo-ngodisi	mo-ngodisi
wa	w-a
di-khampani	di-khampani
kapa	kap-a
mo-abi	mo-abi
wa	w-a
ma-fa	maf-a
ha	ha
le	le
traste	traste
qeto	qeto
kapa	kap-a
n-tumello	n-tumello
kapa	kap-a
bo-laodi	bo-laodi
bo	bo
bong	bong
ho	ho
y-a	y-a
ka	ka
moo	moo
ho	ho
hlok-eh-a-ng	hlok-eh-a-ng
n-tumello	n-tumello
ha	ha
hlok-ahal-a	hlok-ahal-a
ya	y-a
le-fapha	le-fapha
la	la
n-kgwebo	n-kgwebo
le	le
indasteri	indasteri
fomula	fomul-a
ha	ha
ets-a	ets-a
n-kopo	n-kopo
tlasa	tlas-a
n-pusetso	n-pusetso
ya	y-a
n-karolo	n-karolo
le	le
tokomane	n-tokane
ya	y-a
bo-itsebiso	bo-itsebiso
ha	ha
l-e	le
mo-ahi	mo-ahi
wa	w-a
afrika	afrika
bo-rwa	bo-rwa
di-tokomane	di-tokomane
tsa	ts-a
pasepoto	n-pasepoto
ha	ha
mo-tho	mo-tho
eo	eo
se-ng	se-ng
mo-dudi	mo-dudi
koporasi	koporasi
ya	y-a
ba-tho	ba-tho
ba	ba
mo-mmalwa	mo-mmmmmmmmmmalwa
cc	cccccccccccccccccccccccccccccccccccccccccccccccccc
le	le
traste	traste
di-tho	di-tho
tsohle	tsohle
ba-lekane	ba-lekane
kapa	kap-a
ba-lebedi	ba-lebedi
ba	ba
traste	traste
khampani	khampani
ba-laodi	ba-laodi
bohle	bo-hle
ho	ho
ke-ny-el-ets-a	ke-ny-el-ets-a
le	le
mo-laodi	mo-laodi
ya	y-a
okam-e-ts-e-ng	okame-ts-e-ng
le	le
mo-laodi	mo-laodi
wa	w-a
di-tjhelete	di-tjhelete
thibelo	thibelo
ya	y-a
bo-tlokotsebe	bo-tlokotsebe
ke	ke
di-tsi	di-tsi
tse	tse
fapan-e-ng	fapan-e-ng
tseo	tseo
lets-ets-a-ng	lets-ets-a-ng
ho	ho
tsona	tson-a
tseo	tseo
bo-ikarabelo	bo-ikarabelo
ba	ba
tsona	tson-a
l-e-ng	le-ng
ho	ho
bok-ell-a	bok-el-l-a
di-ntlha	di-ntlha
se-tjhabe-ng	se-tjhabeng
mabapi	ma-bapi
le	le
ba	ba
ets-a-ng	ets-a-ng
bo-tlokotsebe	bo-tlokotsebe
mmoho	moho
le	le
me-sebetsi	me-sebetsi
ya	y-a
bona	bon-a
di-tho	di-tho
tsa	ts-a
se-tjhaba	se-tjhaba
di	di
thus-w-a	thus-w-a
ke	ke
ba-sebetsi	ba-sebetsi
ba	ba
di-tsi-ng	di-tsing
tsena	tsena
tseo	tseo
lets-ets-a-ng	lets-ets-a-ng
ho	ho
tsona	tson-a
ba	ba
rup-el-l-ets-w-e-ng	rup-el-l-ets-w-e-ng
hantle	hantle
haholo	haholo
di-tabe-ng	di-tabeng
tsa	ts-a
di-puisano	di-puisano
tsa	ts-a
ho	ho
ets-a	ets-a
di-patlisiso	di-patlisiso
hona	hon-a
ho	ho
dumel-l-a	dumel-l-a
hore	hore
tseb-is-e	tseb-is-e
ba	ba
di-tshebeletso	di-tshebeletso
tsa	ts-a
se-polesa	se-polesa
sa	sa
afrika	afrika
bo-rwa	bo-rwa
ka	ka
me-sebetsi	me-sebetsi
ya	y-a
bao	bao
ba	ba
ets-a-ng	ets-a-ng
bo-tlokotsebe	bo-tlokotsebe
ka	ka
tsela	tsel-a
bolok-eh-il-e-ng	bolok-eh-il-e-ng
hape	hap-e
se	se
n-a-ng	nang
tshabiso	n-tshabiso
ka	ka
dul-a	dul-a
sa	sa
hlah-is-e	hlah-is-e
le-bitso	le-bitso
la	la
hao	hao
ha	ha
batl-a	batl-a
ba	ba
latel-a-ng	latel-a-ng
me-hlala	me-hlala
ya	y-a
ba-tho	ba-tho
mmoho	moho
le	le
di-agent	di-agent
tse	tse
sheb-an-e-ng	sheb-an-e-ng
le	le
bo-itsebiso	bo-itsebiso
ba	ba
bao	bao
ba	ba
lets-a-ng	lets-a-ng
ha	ha
ba	ba
dumel-l-w-a	dumel-l-w-a
ho	ho
se-bake-ng	bakeng
sa	sa
ho	ho
ti-is-ets-a	ti-is-ets-a
hore	hore
bao	bao
ba	ba
f-an-a-ng	f-an-a-ng
ka	ka
le-sedi	le-sedi
ha	ha
ba	ba
tsej-w-e	tsej-w-e
n-tlhahisolesedi-ng	n-tlhahisoleding
eo	eo
ho	ho
f-an-w-a-ng	f-an-w-a-ng
ka	ka
yona	yon-a
rom-el-w-a	rom-el-w-a
ma-fokisi-ng	ma-fokising
el-a	el-a
hloko	hloko
hona	hon-a
ho	ho
ets-w-a	ets-w-a
feela	fe-el-a
ka	ka
n-tumello	n-tumello
ya	y-a
hao	hao
ka	ka
tlaleh-a	tlaleh-a
hape	hap-e
le	le
n-ketso	n-ketso
tsa	ts-a
bo-tlokotsebe	bo-tlokotsebe
ka	ka
mo-kgwa	mo-kgwa
wa	w-a
elektroniki	elektroniki
weposaete-ng	weposaeteng
ya	y-a
saps	saps
oo	ooo
hape	hap-e
ti-is-ets-a-ng	ti-is-ets-a-ng
le	le
ho	ho
se	se
tsej-w-e	tsej-w-e
ha	ha
mo-tho	mo-tho
ya	y-a
tlaleh-a-ng	tlaleh-a-ng
n-tle	ntl-e
le	le
haebe	haebe
ho	ho
bole-ts-w-e	bole-ts-w-e
ka	ka
mo-kgwa	mo-kgwa
mong	mong
lets-ets-a	lets-ets-a
nomoro	nomoro
ya	y-a
l-e-ng	le-ng
ya	y-a
tl-a	tl-a
ho	ho
tata-is-a	tata-is-a
di-potso-ng	di-potsong
mme	mo-mme
ha	ha
n-tlhahisolesedi-ng	n-tlhahisoleding
eo	eo
f-an-e-ng	f-an-e-ng
ka	ka
yona	yon-a
ka	ka
sebed-is-w-a	sebed-is-w-a
tl-a	tl-a
ho	ho
neh-a	neh-a
khoutu	khoutu
eo	eo
l-e-ng	le-ng
ya	y-a
hao	hao
l-e	le
mong	mong
haebe	haebe
n-tlhahisolesedi-ng	n-tlhahisoleding
eo	eo
ha	ha
eso	eso
b-e	be
le	le
mo-lemo	mo-lemo
ka	ka
n-ako	n-ako
eo	eo
tla	tl-a
hlalos-a	hlalos-a
le-baka	le-baka
b-e	be
ho	ho
elets-a	elets-a
hore	hore
ka	ka
fuman-a	fuman-a
jwang	jw-a-ng
di-ntlha	di-ntlha
tse	tse
ding	di-ng
n-tlhahisolesedi-ng	n-tlhahisoleding
sebed-is-eh-a-ng	sebed-is-eh-a-ng
am-aha-ng-w-a	am-aha-ng-w-a
le	le
nomoro	nomoro
ya	y-a
khoutu	khoutu
eo	eo
f-uw-e-ng	f-uw-e-ng
tla	tl-a
kotj-w-a	kotj-w-a
hore	hore
lets-ets-e	lets-ets-e
mo-hala	mo-hala
ho	ho
nomoro-ng	nomorong
ena	ena
n-ako-ng	n-akong
eo	eo
tla	tl-a
bolel-l-w-a	bolel-l-w-a
hore	hore
bots-e	bots-e
hore	hore
di-ntlha	di-ntlha
tseo	tseo
di	di
sebets-a	sebets-a
le	le
hore	hore
tshwanel-eh-a	tshwanel-eh-a
se-bake-ng	bakeng
sa	sa
mo-putso	mo-putso
ha	ha
kop-il-e	kop-il-e
mo-putso	mo-putso
n-ako-ng	n-akong
tl-a-ng	tl-a-ng
tla	tl-a
bu-a	bu-a
le	le
wena	wena
ka	ka
nyewe	ny-ew-e
feela	fe-el-a
haebe	haebe
nomoro	nomoro
ya	y-a
khoutu	khoutu
eo	eo
f-an-e-ng	f-an-e-ng
ka	ka
yona	yon-a
nep-ah-ets-e	nep-ah-ets-e
mme	mo-mme
le	le
bo-itsebiso	bo-itsebiso
ba	ba
hao	hao
bo	bo
tsama-el-an-a	tsama-el-an-a
le	le
profaele	profaele
rekoto-ng	rekotong
tla	tl-a
kgaol-a	kgaol-a
mo-hala	mo-hala
ka	ka
potlako	n-potlako
haebe	haebe
kgotso-f-ets-e	kgotso-f-ets-e
hore	hore
ha	ha
mo-tho	mo-tho
eo	eo
n-e-ng	neng
bu-a	bu-a
le	le
yena	yen-a
pejana	pejana
hona	hon-a
ke	ke
mo-hato	mo-hato
wa	w-a
n-tshireletso	n-tshireletso
mme	mo-mme
ke	ke
ke	ke
wa	w-a
fetol-w-a	fetol-w-a
ha	ha
tlaleh-a	tlaleh-a
bo-tlokotsebe	bo-tlokotsebe
ka	ka
mo-kgwa	mo-kgwa
wa	w-a
elektroniki	elektroniki
tla-ts-a	tla-ts-a
foromo	foromo
ya	y-a
ho	ho
f-uw-a	f-uw-a
ma-ikutlo	ma-ikutlo
weposaete-ng	weposaeteng
ya	y-a
saps	saps
ho	ho
tla	tl-a
hlah-a	hlah-a
nomoro	nomoro
ya	y-a
referense	referense
hang	hang
ho	ho
b-a	ba
rom-el-e	rom-el-e
foromo	foromo
tla	tl-a
hok-ah-an-a	hok-ah-an-a
le	le
yuniti	yuniti
tshwane-ts-e-ng	tshwane-ts-e-ng
ya	y-a
di-patlisiso	di-patlisiso
se-bake-ng	bakeng
sa	sa
ho	ho
sal-a	sal-a
taba	tab-a
mo-rao	mo-rao
ka	ka
n-kopo	n-kopo
ya	y-a
hore	hore
ba	ba
f-an-e	fane
ka	ka
tlaleho	tlaleho
ya	y-a
ho	ho
qal-a	qal-a
di-hore-ng	di-horeng
tse	tse
mme	mo-mme
se-phetho	se-phetho
sa	sa
di-phuputso	di-phuputso
sona	sona
se	se
tsw-e	tsw-e
ka	ka
potlako	n-potlako
ka	ka
ho	ho
y-a	y-a
ka	ka
moo	moo
ho	ho
ka	ka
kgon-eh-a-ng	kgon-eh-a-ng
ha	ha
tshwanel-eh-a	tshwanel-eh-a
mme	mo-mme
hape	hap-e
kop-il-e	kop-il-e
mo-putso	mo-putso
mo-fuputsi	mo-fuputsi
tla	tl-a
beh-a	beh-a
mo-putso	mo-putso
le	le
n-tshebetso	n-tshebetso
ya	y-a
ho	ho
tleleim-a	tleleim-a
ka	ka
ho	ho
y-a	y-a
ka	ka
ha	ha
mo-putso	mo-putso
s-e	se
lok-il-e	lok-il-e
ba	ba
ba	ba
tla	tl-a
i-tea-ny-a	i-tea-ny-a
le	le
wena	wena
ho	ho
hloph-is-ets-a	hloph-is-ets-a
ho	ho
lesh-w-a	lesh-w-a
ke	ke
em-e	em-e
ka	ka
pele	pele
ho	ho
lona	lona
bo-siu-ng	bosiung
bona	bon-a
di-lemo-ng	di-lemong
tse	tse
ho	ho
tloh-a	tloh-a
ha	ha
mo-presidente	mo-presidentente
nelson	n-elson
rolihlahla	rolihlahla
mandela	mandela
n-e	ne
tsw-a	tsw-a
n-kgoleho-ng	n-kgolehong
re	re
kgeth-il-e	kgeth-il-e
le-tsatsi	le-tsatsi
lena	le-na
l-e	le
la	la
ho	ho
bits-a	bits-a
palamente	palamente
ya	y-a
n-kopanelo	n-kopanelo
ho	ho
ets-a	ets-a
n-puo	n-puo
mabapi	ma-bapi
le	le
ma-emo	ma-emo
se-tjhaba	se-tjhaba
ho	ho
ketek-a	ketek-a
mo-tsotso	mo-tsotso
ona	ona
wa	w-a
bo-hlokwa	bo-hlokwa
feto-ts-e-ng	feto-ts-e-ng
n-aha	nah-a
ya	y-a
rona	ron-a
ho	ho
lokoll-w-a	lokol-l-w-a
ha	ha
madiba	ma-diba
ho	ho
tl-is-its-w-e	tl-is-its-w-e
ke	ke
bo-itseko	bo-itseko
bo	bo
ma-tla	matla
ba	ba
ba-tho	ba-tho
ba	ba
aforika	aforika
bo-rwa	bo-rwa
ba-tshwaruwa	ba-tshwaruwa
ba	ba
di-polotiki	di-polotiki
ba	ba
me-hle-ng	me-hleng
le	le
me-kaubere	me-kaubere
teng	n-teng
kwano	n-kwano
b-il-e	bil-e
di-paki	di-paki
tsa	ts-a
seo	se-o
hobane	hobane
n-e	ne
l-e	le
n-karolo	n-karolo
ya	y-a
taba	tab-a
eo	eo
le	le
tla	tl-a
hopol-a	hopol-a
l-e	le
ka	ka
nnete	nete
hore	hore
bo-holo	boholo
ba	ba
ba-tho	ba-tho
n-ahe-ng	nah-e-ng
ena	ena
ka	ka
me-kgahlelo	me-kgahlelo
fapan-e-ng	fapan-e-ng
bo	bo
il-e	il-e
ba	ba
arab-el-a	arab-el-a
ka	ka
ma-ikemisetso	ma-ikemisetso
n-kgoeletso	n-kgoeletso
ya	y-a
ho	ho
hlok-is-a	hlok-is-a
n-aha	nah-a
bo-tsitso	botsitso
le	le
ho	ho
ets-a	ets-a
bo-nnete	bon-n-ete
ba	ba
hore	hore
n-kgethollo	n-kgethollllo
ha	ha
sebets-e	se-betse
re	re
ketek-a	ketek-a
le-tsatsi	le-tsatsi
lena	le-na
le	le
ba-tshwaruwa	ba-tshwaruwa
ba	ba
me-hle-ng	me-hleng
ba	ba
di-polotiki	di-polotiki
bao	bao
re	re
ba	ba
mem-m-e-ng	mem-m-e-ng
ka	ka
ho	ho
i-kgeth-a	i-kgeth-a
hore	hore
ba	ba
b-e	be
le	le
rona	ron-a
re	re
amohel-a	amohel-a
ka	ka
ho	ho
i-kgeth-a	i-kgeth-a
ba	ba
tsw-a-ng	tsw-a-ng
mose	mose
hore	hore
ba	ba
b-e	be
le	le
rona	ron-a
mona	mona
helene	helene
pastoors	n-pastors
michael	michael
dingake	di-ngake
wa	w-a
botswana	bo-tswana
mo-nghadi	mo-ngadi
andimba	andimba
toivo	n-tovo
ya	y-a
toivo	n-tovo
wa	w-a
swapo	swapo
ya	y-a
namibia	namib-ib-ia
re	re
thab-ets-e	thab-e-ts-e
hore	hore
di-tho	di-tho
tsa	ts-a
mo-ifo	mo-ifo
wa	w-a
mo-lao	mo-lao
wa	w-a
nyewe	ny-ew-e
ya	y-a
bo-hlabaphio	bo-hlabahipi
ya	y-a
rivonia	rivon-ia
di	di
b-e	be
le	le
rona	ron-a
joel	joel
joffe	jofe
ya	y-a
s-e-ng	se-ng
ah-il-e	ah-il-e
london	london
le	le
mo-ahlodi	mo-ahlodi
arthur	arthur
chaskalson	chaskalson
hape	hap-e
re	re
hopol-a	hopol-a
le	le
ho	ho
leb-is-a	leb-is-a
n-hlompho	hlompho
ho	ho
mo-nghadi	mo-ngadi
harry	hary
schwarz	schwarz
ya	y-a
hlok-ah-ets-e-ng	hlok-ah-ets-e-ng
beke	leke
fet-il-e-ng	fet-il-e-ng
hara	hara
di-tho	di-tho
kaofela	n-kaofela
n-e	ne
l-e	le
se-tho	se-tho
sa	sa
mo-ifo	mo-ifo
wa	w-a
n-tshireletso	n-tshireletso
wa	w-a
nyewe	ny-ew-e
ya	y-a
rivonia	rivon-ia
re	re
is-a	is-a
di-teboho	di-teboho
ho	ho
me-tswalle	me-tswalle
le	le
bo-mphato	bo-mphato
ba	ba
ma-tjhabe-ng	ma-tjhabeng
se-bake-ng	bakeng
sa	sa
ho	ho
thus-a	thus-a
n-twe-ng	nt-w-e-ng
ya	y-a
rona	ron-a
ya	y-a
ho	ho
fihl-el-l-a	fihl-el-l-a
n-tokoloho	n-tokoloho
re	re
is-a	is-a
n-kamohelo	n-kamohelo
i-kgeth-a-ng	i-kgeth-a-ng
ho	ho
le-lapa	le-lapa
la	la
ha	ha
mandela	mandela
le-lapa	le-lapa
lena	le-na
b-il-e	bil-e
le-tshwao	le-tshwao
la	la
ho	ho
i-ntsh-a	i-ntsh-a
se-hlabelo	se-hlabelo
ho	ho
bohle	bo-hle
ba	ba
utlw-il-e-ng	utlw-il-e-ng
bo-hloko	bo-hloko
ka	ka
n-kgethollo	n-kgethollllo
re	re
is-a	is-a
ma-dume	ma-dume
ho	ho
bo-etapele	bo-etapele
ba	ba
mo-kga	mo-kga
bus-a-ng	bus-a-ng
le	le
bo-mphato	bo-mphato
ba	ba
bona	bon-a
bao	bao
ho	ho
bona	bon-a
mo-rero	mo-rero
ono	ono
l-e-ng	le-ng
wa	w-a
bo-hlokwa	bo-hlokwa
ka	ka
tsela	tsel-a
i-kgeth-a-ng	i-kgeth-a-ng
ba-heso	ba-heso
le	le
me-tswalle	me-tswalle
le-tsatsi-ng	le-tsatsing
lena	le-na
le	le
i-kgeth-a-ng	i-kgeth-a-ng
re	re
bo-e-ts-e	bo-e-ts-e
re	re
lok-el-a	lok-el-a
ho	ho
ananel-a	ananel-a
nyehelo	nyehelo
ya	y-a
bo-etapele	bo-etapele
ba	ba
bao	bao
qetello-ng	qetelong
ba	ba
il-e-ng	il-e-ng
ba	ba
lemoh-a	lemoha
hore	hore
n-kgethollo	n-kgethollllo
ha	ha
bo-kamoso	bo-kamoso
n-tumel-l-e-ng	n-tumel-l-e-ng
hore	hore
ke	ke
hlah-is-e	hlah-is-e
n-karolo	n-karolo
bap-ets-w-e-ng	bap-e-ts-w-e-ng
ke	ke
mo-presidente	mo-presidentente
wa	w-a
me-hle-ng	me-hleng
botha	bo-tha
ke	ke
yena	yen-a
ya	y-a
qad-il-e-ng	qad-il-e-ng
di-puisano	di-puisano
ka	ka
n-kgonahalo	n-kgonahalo
ya	y-a
ho	ho
lokoll-a	lokol-l-a
ba-tshwaruwa	ba-tshwaruwa
ba	ba
di-polotiki	di-polotiki
mo-presidente	mo-presidentente
botha	bo-tha
sebed-its-e	sebed-its-e
le	le
le-tona	le-tona
la	la
me-hle-ng	me-hleng
la	la
n-toka	n-toka
mo-nghadi	mo-ngadi
kobie	kob-ie
coetzee	coetize
ya	y-a
n-e-ng	neng
thus-w-a	thus-w-a
ke	ke
ngaka	ngaka
neil	ne-il
barnard	barnard
le	le
mike	mike
louw	lo-uw-
ba	ba
bap-ets-e	bap-e-ts-e
n-karolo	n-karolo
ya	y-a
bo-hlokwa	bo-hlokwa
tsele-ng	tsel-e-ng
n-e-ng	neng
is-a	is-a
n-tokoloho-ng	n-tokolohong
ya	y-a
madiba	ma-diba
ba-heso	ba-heso
ba	ba
hlomph-eh-il-e-ng	hlomph-eh-il-e-ng
aforika	aforika
bo-rwa	bo-rwa
sa	sa
nts-e	nts-e
tla	tl-a
ananel-a	ananel-a
ka	ka
bo-tlalo	bo-tlalo
n-karolo	n-karolo
ya	y-a
bo-hlokwa	bo-hlokwa
bap-ets-w-e-ng	bap-e-ts-w-e-ng
ke	ke
mo-poresidente	mo-poresintententententententententententententent
wa	w-a
me-hle-ng	me-hleng
wa	w-a
anc	anc
wa	w-a
mphato	mphato
oliver	oliver
tambo	n-tambo
ya	y-a
e-nts-e-ng	ents-e-ng
mo-theo	mo-theo
wa	w-a
hore	hore
n-aha	nah-a
ena	ena
b-e	be
mo-hlala	mo-hlala
motle	motle
wa	w-a
n-tokoloho	n-tokoloho
le	le
demokerasi	demokerasi
ke	ke
bo-etapele	bo-etapele
ba	ba
hae	hae
bo	bo
hlwahlwa	hlwahl-w-a
n-tjhebelopele	n-tjhebelopele
le	le
n-pono	n-pono
hlak-il-e-ng	hlak-il-e-ng
tse	tse
e-nts-e-ng	ents-e-ng
hore	hore
anc	anc
matla-fa-ts-e	matla-fa-ts-e
tsela	tsel-a
ya	y-a
di-tumellano	di-tumellano
tsa	ts-a
di-therisano	di-therisano
bo-hlale	bo-hlale
ba	ba
hae	hae
bo	bo
bon-ah-ets-e	bon-ah-ets-e
n-tumellano-ng	n-tumelanong
ya	y-a
harare	harare
eo	eo
ngo-ts-e-ng	ngo-ts-e-ng
le	le
ho	ho
et-el-l-a	et-el-l-a
pele	pele
sena	se-na
ke	ke
sona	sona
se	se
e-nts-e-ng	ents-e-ng
mo-theo	mo-theo
se-bake-ng	bakeng
sa	sa
phatlalatso	phatlalatso
e-nts-e-ng	ents-e-ng
histori	histori
ya	y-a
mo-presidente	mo-presidentente
de	de
klerk	klerk
di-lemo-ng	di-lemong
tse	tse
tse	tse
fet-il-e-ng	fet-il-e-ng
ka	ka
sena	se-na
mo-presidente	mo-presidentente
de	de
klerk	klerk
bon-tsh-its-e	bon-tsh-its-e
se-bete	se-bete
le	le
bo-etapele	bo-etapele
bo	bo
hlwahlwa	hlwahl-w-a
le-tsatsi-ng	le-tsatsing
lena	le-na
le	le
r-e	re
ke	ke
bo-el-e	bo-ele
ke	ke
ananel-e	ananele
n-karolo	n-karolo
bap-ets-w-e-ng	bap-e-ts-w-e-ng
ke	ke
mo-fu	mo-fu
mo-fumahadi	mo-fumahadi
helen	hel-en
suzman	suzman
ke	ke
ka	ka
n-ako	n-ako
telele	telel-e
l-e	le
le-ntswe	le-ntswe
la	la
hae	hae
feela	fe-el-a
palamente-ng	palamenteng
le	le
n-e-ng	neng
le	le
lw-an-el-a	lwanel-a
di-phethoho	di-phethoho
re	re
bo-el-a	bo-el-a
re	re
ananel-a	ananel-a
n-karolo	n-karolo
ya	y-a
mo-etapele	mo-etapele
wa	w-a
mo-rena	mo-rena
mangosuthu	ma-ngosthu
buthelezi	buthelezi
eo	eo
le	le
yena	yen-a
lw-an-e-ts-e-ng	lwane-ts-e-ng
ho	ho
lokoll-w-a	lokol-l-w-a
ha	ha
madiba	ma-diba
le	le
n-tokoloho	n-tokoloho
ya	y-a
ba-tshwaruwa	ba-tshwaruwa
ba	ba
bang	bang
ba	ba
di-polotiki	di-polotiki
le	le
ho	ho
kgutl-a	kgutl-a
ha	ha
ba-balehi	ba-balehi
ba	ba
di-polotiki	di-polotiki
re	re
sa	sa
bo-el-a	bo-el-a
re	re
pheth-a	pheth-a
ho	ho
leboh-a	leboh-a
ho	ho
tloh-a	tloh-a
bo-tebo-ng	bo-tebong
ba	ba
di-pelo	di-pelo
tsa	ts-a
rona	ron-a
ba	ba
di-naha	di-naha
tsa	ts-a
ma-tjhabe-ng	ma-tjhabeng
se-bake-ng	bakeng
sa	sa
tshehetso	n-tshehetso
ya	y-a
bona	bon-a
sa	sa
thekes-el-e-ng	thekeseleng
n-twe-ng	nt-w-e-ng
ya	y-a
rona	ron-a
di-nako	di-nako
tsena	tsena
tsa	ts-a
histori	histori
ya	y-a
rona	ron-a
di	di
