li-fuman-e	li-fum-an-e
lo-u-ku-tloliswa	l-o-i-kutloliswa
kwa-i-li-gama	kwa-i-li-gama
l-e-hlangano	le-i-linganno
i-nga-s-i	i-nga-s-i
i-li-gama	i-ga-a
la-u-ku-enz-a	la-u-ku-enz-a
i-li-bhizinisi	i-bhizinisi
ku-fanel-e	ku-fanel-e
li-vez-w-e	li-vez-w-e
ziko	zi-i-ko
na-ku-vel-a	na-ku-vel-a
i-asterisk	i-astrisik
sul-a	sula
lokho	lo-i-kho
e-i-si-gabe-ini	e-s-ga-ba-a-ini
vez-a	vezza
oku-landel-ako	o-kulandel-ako
na-i-si-bongo	na-i-si-bongo
sa-u-mu-ntu	sa-u-mu-ntu
o-wa-enz-a	o-wu-enz-a
sa-i-li-layisense	si-el-li-layissee
ba-u-mu-ntu	ba-u-mu-ntu
o-wa-enz-a	o-wu-enz-a
i-si-bonelo	i-si-bonelo
u-m-pha-thi	u-mu-phathi
u-mu-nikazi	u-mu-nikazi
u-mu-ntu	u-mu-ntu
o-wa-enz-a	o-wu-enz-a
ku-fanel-e	ku-fanel-e
i-li-langa	i-langa
nga-lo	nga-lo
i-ndawo	i-n-dawo
lapho	la-pho
zalis-a	za-lis-a
e-o-fis-ini	e-o-fisini
e-liseduz-e	eli-s--d-de
w-e-pahla	w-e-phahla
a-ma-khophi	a-ma-khophi
ela-ndel-ako	ela-ndel-ako
e-forom-ini	e-forom-ini
i-si-tifikhethi	i-si-tifikhethi
s-o-i-kutloliswa	s-o-i-kutloliswa
kwa-i-li-bhizinisi	kwa---ii-zinisi
njenga-omu-bana	njenga-u-mabana
si-k-hutjhw-e	si-khutjhw-e
w-a-makampani	w---makampani
li-the	the
e-bu-jam-e-ni	e-i-buamaa-ini
i-n-vumo	i-m-vumo
eli-nye	eli-nye
i-li-gunya	i-guny-a
eli-sebenz-ako	eli-sebenz-ako
i-n-vumo	i-m-vumo
y-o-i-m-nyango	y-o-i-m-nyango
w-e-zo-kurhwebelana	w-e-zo-kurhweele
na-a-ma-bubulo	na-a-ma-bubulo
na-yifunekako	na-yi-funekko
ya-u-ku-enz-a	ya-u-ku-enz-a
wa-enz-a	wa-enz-a
nga-pha-si	nga-phas-i
ya-u-ku-buy-is-el-w-a	ya-u-ku-bu-iiel-w-a
i-mali	i-ma-li
za-u-ku-zaz-is-a	za-u-ku-zi-az-is-a
e-bu-jam-e-ni	e-b-bjama-a-ini
ba-i-si-akhamuzi	ba-i-si-akhamuzi
s-e-sewula	s-e-sewula
y-e-pha-spoti	y-e-phasoti
e-bu-jam-e-ni	e-b-bjama-a-ini
ba-u-mu-ntu	ba-u-mu-ntu
o-nga-s-i	o-nga-s-i
wo-ke	wo-ke
a-ma-lunga	a-ma-lunga
a-ba-lingani	a-ba-linganni
b-e-kampani	b-e-ampani
ba-o-ke	bo-ke
ku-fak-a	ku-fak-a
na-u-m-nqophisi	na-u-mu-nophisi
i-crime	i-crime
mi-hlobo	mi-hlobo
e-i-mi-nengana	e-i-mi-nengan-a
y-a-masentha	y-a-maseetha
wa-u-ku-fun-a	wa-u-ku-fun-a
i-rhelebho	i-rhelebho
n-gokudos-a	nga-u-ku-dosa
a-sebenz-a	a-sebenz-a
u-ku-buth-elel-a	u-ku-bu-thelel-a
i-lu-az-i	i-la-az-i
eli-buy-a	eli-buy-a
e-u-mu-phakathi-ini	e-i-m--hakathiiii
nga-i-zelelesi	nga-i-zi-elesi
ka-nye	ka-nye
na-i-mi-sebenzi	na-i-mi-sebenzi
y-a-zo	ya-zo
a-ma-lunga	a-ma-lunga
wa-u-mu-phakathi	wa-u-mu-phakathi
a-rhelejw-a	a-rheleej-w-a
ba-sebenzi	ba-s--e-benzi
be-s-enth-a	be-s-en-tha
a-ba-bandulwe	a-a-bandul-w-e
ku-hle	ku-hle
e-i-kuphenyeni	e-ku-u-ennyeni
nga-u-ku-khulum-is-an-a	nga-u-ku-khulum-is-a--a-a
lokhu	la-u-khu
bona	b-o-na
u-az-is-e	u-azi-s-e
i-mi-sebenzi	i-mi-sebenzi
s-e-sewula	s-e-sewula
i-south	i-so-tht
nga-i-mi-sebenzi	nga-i-mi-sebenzi
y-e-ze-lelesi	y-e-ze-elelesi
e-i-bhodulukweni	e-bhoduluk-w-a-ini
e-i-li-phephileko	e-i-li-phepheko
na-i-li-ngabeki	na-i-li-ngabeki
a-ma-philo	a-ma-philo
e-i-n-ngozi-ini	e-ngzi--nzi-ini
awu-zivez-i	a-wu-zi-vezi
na-wungafuniko	na-wungafuniko
aba-sebenzel-i	a-ba-sebenz-el-i
be-zoku-landel-el-a	be-zo-ku-land-elel-a
no-ku-fanisw-a	na-u-ku-fanis----a
k-wa-bados-a	kwa-bad-s-a
i-mi-tato	i-mi-tato
a-ba-kavunyelwa	aba-ka-vunyel-w-a
u-ku-z-a	u-ku-z)z-a
kw-a-crime	kw-a-crime
kho-na	khon-a
ku-za-kuqinisekiswa	ku-zaku-qin-is-ek-is-a
u-ku-ngazivezi	u-ku-nga-zi-vezi
kw-e-empimpi	kw-e-empimpi
i-lu-az-i	i-lw-az-i
e-i-li-nikelweko	e-i-nikel-weko
li-thunyelw-a	li-thunyel-w-a
ku-baphenyi	ku-babheenyi
a-ma-sentha	a-ma-s-entha
w-e-rhelebho	w-e-rheleeho
l-o-i-m-tato	l-o-i-m-tato
godu	godu
a-thintan-is-a	a-thint-an-is-a
i-i-m-pimpi	i-i-m-pimi
n-gokudos-a	nga-u-ku-dosa
nga-i-n-dlela	nga-i-n-dlela
y-e-khonferensi	y-e-khonferensi
lokhu	la-u-khu
i-si-phath-is-w-a	i-si-phathis-w-a
esi-pheny-ako	e-iipheny-ako
u-ku-khulum-is-an-a	u-ku-khulum-is-an-a
na-i-m-pimpi	na-i-m-mii
lokhu	la-u-khu
ku-enz-iw-a	ku-enz-iw-a
ku-phel-a	ku-phel-a
nga-i-n-vumo	nga-i-m-vumo
ya-kho	ya-kho
godu	gaod
u-nga-bik-a	u-nga-bik-a
i-zi-enzo	i-zi-enzo
za-u-bu-lelesi	za-u-bu-lelesi
nga-ukweelektroniki	nga-u-kwelektroo
ku-webhsayithi	ku-webhsayi-hi-i
ya-i-mi-sebenzi	ya-i-mi-sebenzi
s-e-sewula	s-e-sewula
i-south	i-so-tuth
n-eqinisekis-a	na-i-li-qiniseksa
u-ku-ngazivezi	u-ku-nga-zi-vezi
kwa-kho	kwa-kkho
nga-phandle	nga-phandle
kwa-li-okh-a	kwa-lokkh-a
u-fun-a	u-fun-a
njalo	njalo
e-ithi08600	e-thishu00
w-e-sentha	w-e--sentha
y-e-rhelebho	y-e-rhelebho
l-o-i-m-tato	l-o-i-m-tato
u-za-kuhlahla	u-zaku-hlahl-a
nga-i-mi-buzo	nga-i-mi-buzo
i-lu-az-i	i-li-az-i
o-linikeleko	o-linikeleko
u-zaku-nikel-a	u-zaku-nikel-a
y-e-khodi	y-e-khodi
i-lu-az-i	i-la-az-i
ali-kab-i	a-li-ka-b-i
ukuba	u-ku-b-a
u-za-kuyelelisa	u-zaku-yel-el-is-a
ukobana	u-kobana
u-nga-li-fum-an-a	u-ngalifum-an-a
bu-njani	bunjani
i-lu-az-i	i-lwaz-i
eli-na-bileko	e-i-na-bileko
i-lu-az-i	i-la-az-i
eli-nga-setjenziswa	eli-ngasetjenz-a
li-thintanis-w-a	li-thint-a------a
na-i-khodi	na-i-khodi
o-nikelw-e	o-nikel--w-e
yo-na	y-o-
u-za-kubawiwa	u-zaku-ba-w-w-a
bona	b-o-na
u-dosele	u-dosel-e
i-crime	i-crime
e-na-u-m-borweni	e-nombobowweni
e-ithi08600	e-thihg000
e-i-si-khathi-ini	e-i-si-khathini
u-ku-funisis-a	u-ku-funiiss--a
bona	bo-na
i-lu-az-i	i-lu-az-i
la-kho	la-kkho
li-b-e	li-b-e
na-i-rhelebho	na-i-rhelebho
ingabe	i-ngabe
u-fan-el-e	u-fan-el-e
ku-fuman-a	ku-fuman-a
u-m-vuzo	u-m-vuzo
u-wubawile	u-wu-ba-w--e
u-m-vuzo	u-mu-vuzo
nga-u-mu-so	nga-u-mu-so
u-za-kukhulumisana	u-zaku-khulum-is-a--i-a
na-we	na-we
ku-phel-a	ku-phel-a
nga-u-m-landu	nga-u-mu-landu
y-e-khodi	y-e-khodi
o-yinikeleko	o-yi-i-nikeleko
nga-i-lungileko	nga-i-li-lungelo
u-ku-zi-fanisa	u-ku-zi-fan-is-a
kwa-kho	kwa-kho
ku-khambelan-a	ku-khambel-an-a
na-i-hlathululo	na-i-li-hlatululo
e-serekhod-ini	e-s-erekhod-ini
u-za-kuphelisa	u-zaku-phelis-a
u-neqiniso	u-na-i-li-qiniso
lo-i-kobana	lo-o-kobana
a-ku-suw-e	a-ku-suw-e
o-dose	o-oose
e-u-ku-thom-a-ini	e-u-ku-thom-a-ini
leli	la-i-li-i
l-e-zo-kuvikela	la-ezo-kukeella
a-nge-ze	a-nge-e
k-w-akhulunyisw-an-a	kwa-khuluny-i--w-a
nga-lo	nga-lo
u-bik-a	u-bik-a
u-bu-lelesi	u-bu-lelesi
nga-ukweelektroniki	nga-u-kwelektroo
zalis-a	za-lis-a
la-u-mu-biko	l-o-i-m-biko
eli-thol-akal-a	eli-thoolakal-a
ku-webhsayithi	ku-webhsayi-th-i
i-za-kuvezwa	i-zaku-vez-w-a
u-thumel-e	u-thum-el-e
i-crime	i-crime
i-za-kudlulisela	i-zaku-dlulis-el-a
i-lu-az-i	i-la-az-i
e-yunith-ini	e-i-yu-n-thi-ini
e-pheny-ako	e-phenyako
bona	bo-na
i-pheny-e	i-pheny-e
nga-i-si-bawo	nga-i-si-bawo
i-buy-e	i-buy-e
i-leth-e	i-leth-e
u-mu-biko	u-mu-biko
wa-u-ku-thom-a	wa-u-ku-thom-a
ku-nga-ka-phel-i	ku-nga-ka-phel-i
a-ma-24	a-ma-2%
ka-nye	ka-nye
na-u-mu-phumela	na-u-mu-phumela
w-e-phenyo	w-e-phenyo
nga-u-ku-rhaba	nga-u-ku-rhaba
u-fanelek-a	u-fanel-ek-a
u-ba-w-e	u-bu-w-e
u-m-vuzo	u-mu-vuzo
i-si-phath-is-w-a	i-si-phathis-w-a
esi-pheny-ako	e-i-phenyako
si-zakuqunt-a	si-zaku-qunta
nga-u-m-vuzo	nga-u-mu-vuzo
ka-nye	ka-nye
eza-ku-sebenz-a	eza-ku-sebenz-a
e-ku-khutjhw-eni	e-kukkutjhw-eni
kwa-wo	kwa-wo
nga-u-ku-y-a	nga-u-ku-y-a
o-kuyinational	okkuyii-ntonal-a
lokha	la-u-kh-a
u-m-vuzo	u-mu-vuzo
u-lu-ngile	u-lungiile
i-crime	i-crime
i-za-kuthinta	i-zaku-thinta
u-ku-hlel-a	u-ku-hlel-a
u-ku-bhad-el-w-a	u-ku-bhad-el-w-a
kwa-wo	kwa-wo
ngi-jam-e	ngi-jam-e
phambi	phambi
kwa-inu	kwa-inuu
na-mhlanjesi	na-m-hlanjesi
e-i-n-tambama	e-n-tambama
nga-i-m-va	nga-i-n-va
kwa-i-mi-nyaka	kw--i-mi-nyaka
s-e-lokho	sa-i-li-kho
Mandela	ma-ndela
a-phum-a	a-phum-a
e-i-li-jele	e-jel-e
si-kheth-e	si-kheth-e
i-langeli	i-lang-eli
njenga-lelo	njenga-lelo
l-o-i-kubiza	la-u-ku-biz-a
i-hlalohlanganisela	i-hlalohlangan-a
la-i-zin-ndlu	la-i-zin-ndlu
u-kwethul-a	u-ku-ethul-a
i-khulumo	i-ku-lumo
u-ku-giding-a	u-ku-giding-a
u-m-zuzu	u-mu-zuzu
w-o-i-m-lando	wa-u-mu-lando
o-watjhugulula	o-wa-tjhugulul-a
k-wa-kamadib-a	kwa-kamm-di
kwa-ba-mphumel-a	kwa-bammu-muell-a
w-o-i-kungabuyeli	wa-u-ku-ngabuy-ilei
kwa-a-ba-ntu	kwa-abaa-n
b-e-sewula	be-s-e-wula
i-i-m-botjhwa	i-i-mbotjhwa
na-bomakadebona	na-bomaaadebono
b-e-pi	b-e-pi
ba-l-okh-a	ba-lokh-a
esi-na-bo	esi-na-bo
na-mhlanjesi	na-mhlanjesi
ba-kubon-a	ba-ku-bon-a
lokho	lo-i-kho
ngombana	nga-u-mu-bana
ba-b-eyingceny-e	ba-bey-ingcenye
ya-lokho	ya-lokho
e-gad-e	e-i-dade
ku-enzek-a	ku-enz-ek-a
n-izakukhumbul-a	nizaku-khumbulul-a
ukobana	u-koban-a
i-i-n-qubuthu	i-i-n-nubutu
le	le
nga-u-kweenhlangano	nga-u-kweenhlnga
za-bo	za-bo
ba-ziphendulel-a	ba-zi-phendulel-a
nga-u-ku-yel-el-a	nga-u-ku-yel-el-a
i-li-bizelo	i-bizelo
la-u-ku-enz-a	la-u-ku-enz-a
i-n-gabuseki	i-nga-bus-ek-i
na-u-ku-th-i	na-u-ku-th-i
i-bandlululo	i-bandlululo
si-giding-a	si-giding-a
i-langeli	i-langali
n-eembotjhw-a	na-i-embotjhwa
za-lokha	za-lokh-a
e-sizimem-e	e-i-zi-meme
nga-u-ku-khethekileko	nga-u-ku-khetekiko
ku-o-ba-ana	ku-o-bana
zi-zo-hlanganyele	zi-zo-hlangany-e--n-
na-thi	na-th-i
na-mhlanjesi	na-mhlaanjesi
s-amukel-a	sa-amukel-a
nga-u-ku-khethekileko	nga-u-ku-khetekiko
labo	labo
a-ba-theth-e	a-a-theth-e
i-khambo	i-khambo
lo-i-kusuka	la-u-ku-suk-a
be-z-a	be-zaz-a
lapha	l--ppha
u-helene	u-thel-ani
u-m-i-chael	u-mi-chal-e
b-e-botswana	bebbotsw-ana
u-nom	u-no
a-n-dimb-a	a-n-dimba
w-e-hlangano	w-e-hlangano
y-e-swapo	y-e--sapo
e-na-mibia	e-aa-i-mi-bi
si-thab-a	si-thab-a
khulu	khulu
n-gobukhon-a	nga-obuk-ona
b-e-siqhema	be-si-qhema
s-e-zo-mthetho	sa-i-zomthetho
e-sa-si-jam-el-e	esi-sa-jam-el-e
i-i-m-botjhwa	i-i-mbotjhwa
e-mlandw-ini	e-m-la-andd-ini
w-o-i-kuvukelwa	wa-u-ku-vukel-w-a
w-e-rivonia	w-e-riqoni
u-lord	u-lord
o-sel-e	o-sel-e
a-nzinz-e	a-nz-inz-e
e-i-london	e-londoon
na-i-jaji	na-i-jaji
si-khumbul-a	si-khumbul-a
besi-dlulis-e	be-si-dlulis-e
ya-ithu	y-e-thu
ku-nom.harry	ku-n-mu-muhrrry
nga-i-tjhudwelimbi	nga-itjhudweli
o-sitjhiye	o-si-tjhiye
e-pha-s-ini	e-phas-ini
ndi-ev-ek-e	ngi-evek-e
hlanga-ana	hlangan-a
be-k-alilung-a	ba-ba-lilung-a
b-e-zo-mthetho	b-e-zo-mthetho
e-mlandw-ini	e-mmla-andd-ini
w-erivoni-a	w-e-riqoni
si-dlul-is-a	si-dlulis-a
u-ku-thokoz-a	u-ku-thokoz-a
kwa-ithu	kw-e-thu
ku-bangani	ku-banga-ni
ba-ithu	b-e-thu
na-makhomreyidi	na-makhomreyidi
e-entjhabatjhab-eni	e-entjhabatjhana
na-thi	na-th-i
ku-o-ba-ana	ku-o-bana
si-thol-e	si-thol-e
i-khululeko	i-ku-luleko
s-amukel-a	sa-amukel-a
nga-u-ku-khethekileko	nga-u-ku-khetekiko
u-mu-ndeni	u-mu-ndeni
wa-uku-amandel-a	wa-ku-ama-ela
babe	ba-b-e
nga-u-ku-zi-nik-el-a	nga-u-ku-zi-nikel-a
kw-a-banengi	kwa-aba-nngi
a-ba-qalan-a	aba-qal-an-a
na-u-bu-khali	na-u-bu-khali
b-e-bandlululo	ba--bandlululo
si-l-otjh-is-a	si-lotjhis-a
b-e-hlangano	ba-i-langana
e-bus-ako	e-busakko
na-a-ba-lingani	na-balinnganni
b-omfelandawony-e	ba-omu-elandano
labo	labo
u-mu-nyany-a	u-mu-nyanya
lo	lo
o-ngokhetheke	o-ngokkh-et-ek-e
khulu	khulu
na-kibo	na-kibo
b-a-kwethu	ba-kwethu
na-bang-a-ni	na-banga-ni
e-i-langeni	e-lang-neni
e-i-li-khethekilekweli	e-i-li-kheth-ek-ile
ku-fun-el-e	ku-funel-e
si-khumbul-e	si-khumbul-e
i-n-ndima	i-n-dima
y-a-labo	ya-labo
a-ba-bebarholi	a-babebarholi
a-bapheth-a	aba-pheth-a
ngo-ku-bon-a	nga-u-ku-bon-a
bonyana	b-o-i-nyana
i-bandlululo	i-bandlululo
l-a-lingenalo	la-lilinganllo
i-ku-sas-a	i-ku-sas-a
ngi-vumel-a-ni	ngi-vumelan-ini
ng-itshway-e	ngi-thsw-yee
i-n-ndima	i-n-dima
e-yadlalw-a	e-y--dlal-w-a
ngu-ye	ngu-ye
o-wathom-a	owa-thom-a
nga-i-kghonakalo	nga-i-kghonaalo
y-o-i-kutjhatjhululwa	y-o-i-kutjhatjhula
ze-ze-polotiki	ze-ze-polotiki
ub-oth-a	u-bu-tha
waye-gad-e	wa-y--i-gade
a-sebenz-a	a-sebenz-a
wa-lokh-a	wa-lokha
w-e-zo-bulungiswa	w-e-zobulungissw-a
u-nom	u-no
k-obi-e	ko-bi
o-wayesizwa	o-wayi-siz-w-a
ng-udorhoder-e	ngu-dorhodere
na-u-nom	nonomm
lo-u-uw	la-u
ba-dlal-a	ba-dlal-a
i-n-ndima	i-n-dima
e-ya-rhol-el-a	e-y--rholel-a
e-ku-tjhatjhululw-eni	e-ku-tjhatjhulu
k-wa-kamadib-a	kwa-aka-mada
b-a-kwethu	ba-kwethu
a-ba-hloniphekileko	a-ba-hlonipekiko
ku-sa-fanel-e	ku-sa-fanel-e
i-vum-e	i-vum-e
i-n-ndima	i-n-dima
e-yadlalw-a	e-y--dlal-w-a
wa-lokh-a	wa-lokha
u-khomreyidi	u-khomreyidi
li-Oliver	o-li-ve
Tambo	ta-mbo
o-wakh-a	o-wa-kh-a
i-si-sekelo	i-si-sekelo
e-senz-a	esi-enz-a
ku-o-ba-ana	ku-o-bana
le	le
i-b-e	i-b-e
esi-hle	esi-hl-e
na-i-n-tando	na-i-n-thando
ya-en-nengi	ya-en-nngi
ku-ab-a	kwa-baa
w-o-i-burholi	w-o-i-burholi
ba-khe	ba-khe
obu-hle	obu-hle
khulu	khulu
u-ku-bonelaphambili	u-ku-bonel-aphaai
kw-e-bhudango	kw-e-bhuuango
la-khe	la-kh-e
okwa-rhol-el-a	o-ku-rholel-a
i-anc	i-ann
ku-o-ba-ana	ku-o-bana
i-qinis-elel-e	i-qin-is-el-ee
beku-fikelel-w-e	be-ku-fikelel-w----
e-i-si-phetho-ini	e-s--pheth---ini
s-e-mikhulumiswano	sa-i-mi-khulimswwa
u-ku-hlakaniph-a	u-ku-hlakani-h-a
kwa-khe	ku-akh-e
k-wabonakal-a	kwa-bonakaal-a
nga-i-si-vumelwano	nga-i-si-vumelwana
s-eharar-e	se-eharre
e-satlolw-a	ess-tlolwwa
be-s-ajanyel-w-a	be-sa-janyel-w-a
ngu-ye	ngu-ye
kw-a-bangiso	kwa-abbangiso
i-si-enzo	i-si-enzo
lesi	la-i-si
esa-dosel-a	esi-dossela
e-i-si-sekelweni	e-i-ss-se-el--ini
s-e-simemezelo	sa-i-si-semezelo
e-i-sabamlando	e-i-si-bamando
s-a-kamongameli	sa-a-aamongamelii
e-i-mi-nyaka-ini	e-i-mi-nyakeni
wa-tjengis-a	wa-tjengis-a
i-si-bindi	i-si-bindi
esi-khulu	esi-khulu
na-u-bu-rholi	na-obbu-rholi
o-buqakathekileko	o-buqakath-ileko
nga-i-langeli	nga-i-li-laneli
eli-khulu	eli-khulu
asi-khumbulen-i	a-si-khumbul-a-ini
na-i-n-ndima	na-i-n-dima
e-yadlalw-a	e-y---lal-w-a
yi-i-hloko	yi-i-li-hloko
leya	ley-a
u-m-m.	u-mum
Suzman	su-zmm-an
k-wathath-a	kwa-thath-a
i-si-khathi	i-si-khathi
esi-de	e-s-d-e
i-n-guye	i-ngu-e
kwa-phel-a	kwa-phel-a
n-gepalamend-e	nga-i-palamende
o-wayefuna	o-w-a--efuna
ku-benetjhuguluko	ku-benetjhugula
si-khumbul-a	si-khumbul-a
na-i-n-ndima	na-i-n-dima
y-o-i-m-rholi	y-o-i-m-rholi
w-e-i-n-katha	w--i-nikatha
i-kosi	i-kosi
u-m-angosuthu	u-mangosuthu
na-ye	na-y-e
o-wa-enz-a	o-wu-enz-a
i-li-bizelo	i-bizelo
lo-i-kutjhatjhululwa	la-u-ku-tjhatjhula
kw'-aka-madiba	kwa-kammadiba
na-ezin-nye	na-ez-nnye
i-i-m-botjhwa	i-i-mbotjhwa
ze-ze-polotiki	ze-ze-polotiki
no-ku-buyiselw-a	na-u-ku-bu-isel-w-a
kwa-labo	kwa-labo
aba-gad-e	a-a-gaad-e
b-a-sekudingisweni	ba-s-e-ku-ingg-is-w-a
si-buy-e	si-buy-e
si-thokoz-e	si-thokoz-e
khulu	khulu
k-w-amanik-elel-a	kwa-a-ma-nikelel-a
e-u-mu-phakathi-ini	e-i-m--pakathini
nga-i-sekelo	nga-i-si-ekelo
labo	labo
eli-nga-nakuzaza	eli-nga-akkuz-az-a
e-mzabalazw-eni	e-u-ma-zabaz-wo-ini
wa-ithu	w-e-thu
i-i-n-khathezi	i-i-n-khathezi
e-i-m-landweni	e-m-l--land-wo-ini
wa-ithu	w-e-thu
i-kghono	i-kghono
la-ithu	lethhu
l-obuny-e	la-obuu-nye
na-ngaphasi	na-nga-phas-i
na-u-ku-tjheja	na-u-ku-tjheja
i-tjisakalo	i-tjisakalo
nga-phambi	nga-phambi
kwa-ezin-nye	kwa-ezi-nye
si-nga-enz-a	si-nga-enz-a
oku-nengi	oku-nengi
e-i-n-yakeni	e-i-nyakeni
wo-na	w-on
lo	lo
si-zoku-k-humbul-a	si-zo-ku-khumulul-a
i-hlangano	i-hlangano
y-o-i-bunye	ya-obu--nye
b-e-sewula	be-s-e-ul-a
e-i-yahlonywa	e-yi-hlony-w-a
nga-u-nyaka	nga-u-nyakaka
lokhu	la-u-khu
ku-akh-a	kwa-kh-a
nga-u-ku-qakathekileko	nga-u-ku-qakatheko
u-ku-nin-w-a	u-ku-nin-w-a
kwa-a-ba-ntu	kwa-abba-ntu
aba-nzima	aba-nnzi-a
ku-hlangano	ku-hlangano
y-o-i-bunye	ya-obu--nye
le	le
ku-ab-a	kwa-b-a
omu-khulu	ommkkhulu
w-o-i-kutlanywa	wa-u-ku-tlanyw-a
kw-e-african	kw-e-fricand
nga-u-nyaka	nga-u-nyakaka
n-jengalokh-a	njenga-lokkh-a
s-itshway-a	si-tshw-aya
i-si-khathesi	i-si-khathesi
kwa-u-lu-nyaka	kwa-u-nyaka
ku-fuz-e	ku-fuz-e
si-qal-e	si-qal-e
ku-o-ba-ana	ku-o-bana
i-bang-a	i-bang-a
e-i-si-likhambileko	e-i-si-likamilele
si-khumbul-a	si-khumbul-a
k-amadib-a	ka-a-ma-diba
a-tjhatjhululw-ako	a-tjhatjhululw
na-kasithi	na-ka-si-th-i
ngi-ya-m-dzubhul-a	ngi-ya-a-mu-buhulul-a
ngi-jam-e	ngi-jam-e
phambi	phambi
kwa-inu	kwa-inuu
ngi-ng-asuy-e	ngi-nga-suye
u-m-porofidi	u-mu-roofidi
kodwana	kwa-dwaana
njenga-i-si-sebenzi	njenga-i-si-sebeni
s-e-nu	sa-i-n
e-sizithob-ako	e-i-zi-thobako
ni-n-a	nina
u-ku-zi-nikel-a	u-ku-zi-nikel-a
kwa-inu	kwa-inuu
nga-u-ku-zi-nik-el-a	nga-u-ku-zi-nikel-a
o-ku-kghonakalise	oku-kghonakal-is-a
u-ku-bakhona	u-ku-ba-kona
kwa-mi	kwa-mmi
lapha	l--pha
na-mhlanjesi	na-mhlaanjesi
n-galokhok-e	nga-lokok-e
ngi-bek-a	ngi-bek-a
i-mi-nyaka	i-mi-nyaka
y-a-mi	ya-mi
a-i-si-eleko	e-s-li-eeko
e-i-zi-andla-ini	e-i-zi-andla-ini
ze-nu.	ze-nun
la	la
a-si-khuthaz-a	a-si-khuthaz-a
ku-o-ba-ana	ku-o-bana
be-ku-fik-e	be-ku-fik-e
lapha	l--pha
si-fikelel-a	si-fikel-el-a
kho-na	khona
e-a-ma-zinga-ini	e-a-ma-zinga-ini
wa-u-mu-phakathi	wa-u-mu-phakathi
o-ngakabhodwa	o-ngakabhod-w-a
n-okudiny-w-a	na-u-ku-diny-w-a
a-ma-thuba	a-ma-thuba
e-i-mi-nyaka-ini	e-i-mi-nyakeni
ama-bili	a-ma-bili
ku-sukel-a	ku-suk-el-a
u-m-adiba	u-mu-diba
a-tjhatjhululw-a	a-tjhatjhulul-w-
i-tjhuguluke	i-tjhuguluk-e
khulu	khulu
u-m-and-el-a	u-ma-ndela
wa-bumb-a	wa-bumb-a
le	le
nga-i-rhuluphelo	nga-i-rhuluphelo
l-e-sewula	le-se-wula
e-nga-bandlulul-i	e-nga-a-ndlulul-a
nga-u-bu-lili	nga-u-bu-lili
n-angobuhlang-a	na-nga-u-bu-hlangang
kodwana	kw-o-dwaana
ku-b-e	ku-b-e
e-phumelel-ako	e-phumelelako
ya-i-n-thando	ya-i-n-tndo
