la-oll-a	laol-l-a
hlah-a-ng	hlahang
n-aletsana	n-al-e-tsaa
Hlakol-a	hlakol-a
le	le
efe	efe
sa	sa
hlok-ahal-e-ng	hlok-ahal-e-ng
N-Karolo-ng	n-karolong
ya	y-a
Phatlalatso	n-phatlaatso
bolel-a	bolel-a
tse	tse
latel-a-ng	latel-a-ng
di-tlhaku	di-tlhaku
tsa	tsa
pele	pele
tsa	tsa
ma-bitso	ma-bitso
le	le
se-fane	fane
ya	y-a
mo-tho	mo-tho
ya	y-a
ets-a-ng	ets-a-ng
n-kopo	n-kopo
ya	y-a
laesense	la-esense
ma-emo	ma-emo
mo-tho	mo-tho
ya	y-a
ets-a-ng	ets-a-ng
n-kopo	k-popo
mo-hlala	mo-hlala
mo-laodi	mo-laodi
mo-okamedi	mo-okamedi
mo-nga	mo-nga
mo-tho	mo-tho
ya	y-a
ets-a-ng	ets-a-ng
n-kopo	n-kopo
tlam-eh-a	tlam-eh-a
ho	ho
saen-a	saen-a
foromo	foromo
ya	y-a
n-kopo	kopopo
le-tsatsi	le-tsatsi
leo	le-o
n-kopo	n-kopo
saen-n-w-e-ng	saen-n-w-e-ng
ka	k-a
lona	lona
se-baka	se-baka
seo	se-o
n-kopo	k-popo
saen-n-w-e-ng	saen-n-w-e-ng
ho	ho
sona	sona
Tla-ts-a	tla-ts-a
foromo	foromo
ya	y-a
n-kopo	k-popo
mme	moe
rom-el-e	rom-el-e
ofisi-ng	ofising
haufi	haufii
ya	y-a
Hok-el-a	hok-el-a
foromo-ng	foromong
ya	y-a
n-kopo	n-kopo
di-tokomane	di-tokomane
tse	tse
latel-a-ng	latel-a-ng
tsa	tsa
se-thatho	se-thatho
kapa	k-pa
di-kopi	di-kopi
tse	tse
ti-is-el-ed-its-w-e-ng	ti-is-el-ed-its-w-e-ng
le-ngolo	le-ngolo
la	la
bo-paki	bo-paki
la	la
ngodiso	n-ngodiso
ya	y-a
n-kgwebo	kgwebo
jwalo	jwalo
ka	k-a
ha	ha
le	le
ntsh-its-w-e	ntsh-its-w-e
ke	ke
mo-ngodisi	mo-ngodisi
wa	waa
di-khampani	di-khampani
kapa	k-pa
mo-abi	mo-abi
wa	waa
ma-fa	ma-fa
ha	ha
le	le
Traste	traste
qeto	qeto
kapa	k-pap
n-tumello	n-tumello
kapa	kapa
bo-laodi	bo-laodi
bo	bo
bong	bonng
ho	ho
y-a	y-a
ka	k-a
moo	mo-o
ho	ho
hlok-eh-a-ng	hlok-eh-a-ng
n-tumello	n-tumello
ha	ha
hlok-ahal-a	hlok-ahal-a
ya	y-a
le-fapha	lef-ah-a
la	la
N-Kgwebo	kgweebo
le	le
Indasteri	indasteri
fomula	fomul-a
ha	ha
ets-a	ets-a
n-kopo	n-kopo
tlasa	tla-a
n-pusetso	n-pusetso
ya	y-a
n-karolo	n-karolo
le	le
tokomane	tokoman-e
ya	y-a
bo-itsebiso	boitisebiso
ha	ha
l-e	le
mo-ahi	mo-ahi
wa	waa
Afrika	afrika
bo-rwa	bo-rwa
di-tokomane	di-tokomane
tsa	tsa
pasepoto	n-pasepoto
ha	ha
mo-tho	mo-tho
eo	eo
se-ng	se-ng
mo-dudi	mo-dudi
Koporasi	koporasi
ya	y-a
ba-tho	ba-tho
ba	ba
mo-mmalwa	mo-mmalwa
cc	cc
le	le
traste	traste
di-tho	di-tho
tsohle	tsohle
ba-lekane	ba-lek-an-e
kapa	k-pa
ba-lebedi	ba-lebedi
ba	ba
traste	traste
khampani	khampani
ba-laodi	ba-laodi
bohle	bo-hle
ho	ho
ke-ny-el-ets-a	ke-ny-el-ets-a
le	le
mo-laodi	mo-laodi
ya	y-a
okam-e-ts-e-ng	ok-a-e-ts-e-ng
le	le
mo-laodi	mo-laodi
wa	waa
di-tjhelete	di-tjhelete
Thibelo	thibelo
ya	y-a
bo-tlokotsebe	bo-tlokotsebe
ke	ke
di-tsi	di-tsi
tse	tse
fapan-e-ng	fapaneng
tseo	tseo
lets-ets-a-ng	lets-ets-a-ng
ho	ho
tsona	tson-a
tseo	tseo
bo-ikarabelo	bo-ikarabelo
ba	ba-
tsona	tson-a
l-e-ng	le-ng
ho	ho
bok-ell-a	bok-el-l-a
di-ntlha	di-ntlha
se-tjhabe-ng	se-tjhabeng
mabapi	ma-bapi
le	le
ba	ba-
ets-a-ng	ets-a-ng
bo-tlokotsebe	bo-lookotsebe
mmoho	mo-mho
le	le
me-sebetsi	me-sebetsi
ya	y-a
bona	bo-na
di-tho	di-tho
tsa	tsa
se-tjhaba	se-tjhaba
di	di-
thus-w-a	thus-w-a
ke	ke
ba-sebetsi	ba-sebetsi
ba	ba
di-tsi-ng	di-tsing
tsena	tsen-a
tseo	tseo
lets-ets-a-ng	lets-ets-a-ng
ho	ho
tsona	tson-a
ba	ba
rup-el-l-ets-w-e-ng	rup-el-l-ets-w-e-ng
hantle	hantle
haholo	haholo
di-tabe-ng	di-tabeng
tsa	tsa
di-puisano	di-puisano
tsa	tsa
ho	ho
ets-a	ets-a
di-patlisiso	di-patlisiso
Hona	hona
ho	ho
dumel-l-a	dumel-l-a
hore	hore
tseb-is-e	tseb-is-e
ba	ba-
di-tshebeletso	di-tshebeletso
tsa	tsa
se-polesa	se-polesa
sa	sa
Afrika	afrika
bo-rwa	bo-rwa
ka	k-a
me-sebetsi	me-sebetsi
ya	y-a
bao	ba-o
ba	ba-
ets-a-ng	ets-a-ng
bo-tlokotsebe	bo-tlokotsebe
ka	k-a
tsela	tsel-a
bolok-eh-il-e-ng	bolok-eh-il-e-ng
hape	hap-e
se	se
n-a-ng	nang
tshabiso	tshabiso
ka	k-a
dul-a	dul-a
sa	sa
hlah-is-e	hlah-is-e
le-bitso	le-bitso
la	la
hao	hao
ha	ha
batl-a	batl-a
Ba	ba
latel-a-ng	latel-a-ng
me-hlala	me-hlala
ya	y-a
ba-tho	ba-tho
mmoho	mo-mho
le	le
di-agent	di-agent
tse	tse
sheb-an-e-ng	sheb-an-e-ng
le	le
bo-itsebiso	boitisebiso
ba	ba-
bao	ba-o
ba	ba
lets-a-ng	lets-a-ng
ha	ha
ba	ba-
dumel-l-w-a	dumel-l-w-a
ho	ho
se-bake-ng	ba-keng
sa	sa
ho	ho
ti-is-ets-a	ti-is-ets-a
hore	hore
bao	ba-o
ba	ba-
f-an-a-ng	f-an-a-ng
ka	k-a
le-sedi	le-sedi
ha	ha
ba	ba
tsej-w-e	tsej-w-e
N-Tlhahisolesedi-ng	tlhahahislesedenn
eo	eo
ho	ho
f-an-w-a-ng	f-an-w-a-ng
ka	k-a
yona	yona
rom-el-w-a	rom-el-w-a
ma-fokisi-ng	ma-fokising
El-a	ela-a
hloko	hloko
hona	hon-a
ho	ho
ets-w-a	ets-w-a
feela	feel-a
ka	k-a
n-tumello	n-tumello
ya	y-a
hao	hao
ka	k-a
tlaleh-a	tlaleh-a
hape	hap-e
le	le
n-ketso	n-ketso
tsa	tsa
bo-tlokotsebe	bo-tlokotsebe
ka	k-a
mo-kgwa	mo-kgwa
wa	wa
elektroniki	elektroniki
weposaete-ng	weposaeteng
ya	y-a
SAPS	saps
oo	oo
hape	hap-e
ti-is-ets-a-ng	ti-is-ets-a-ng
le	le
ho	ho
se	se
tsej-w-e	tsej-w-e
ha	ha
mo-tho	mo-tho
ya	y-a
tlaleh-a-ng	tlaleh-a-ng
n-tle	ntle
le	le
haebe	haeb-e
ho	ho
bole-ts-w-e	bole-ts-w-e
ka	k-a
mo-kgwa	mo-kgwa
mong	mo-ng
Lets-ets-a	lets-ets-a
nomoro	nomoro
ya	y-a
l-e-ng	le-ng
ya	y-a
tl-a	tla
ho	ho
tata-is-a	tata-is-a
di-potso-ng	di-potsong
mme	moe
ha	ha
n-tlhahisolesedi-ng	tlhahahislesedenn
eo	eo
f-an-e-ng	faneng
ka	k-a
yona	yona
ka	k-a
sebed-is-w-a	sebed-is-w-a
tl-a	tla
ho	ho
neh-a	neh-a
khoutu	khoutu
eo	eo
l-e-ng	le-ng
ya	y-a
hao	hao
l-e	le
mong	mo-ng
haebe	haeb-e
n-tlhahisolesedi-ng	tlhahiholleseneng
eo	eo
ha	ha
eso	eso
b-e	be
le	le
mo-lemo	mo-lemo
ka	k-a
n-ako	n-ako
eo	eo
tla	tla
hlalos-a	hlalos-a
le-baka	le-baka
b-e	be
ho	ho
elets-a	el-et-a
hore	hore
ka	k-a
fuman-a	fuman-a
jwang	jwan-ng
di-ntlha	di-ntlha
tse	tse
ding	di-ng
N-Tlhahisolesedi-ng	tlhahihilleseneng
sebed-is-eh-a-ng	sebed-is-eh-a-ng
am-aha-ng-w-a	am-aha--g-w-a
le	le
nomoro	nomoro
ya	y-a
khoutu	khoutu
eo	eo
f-uw-e-ng	f-uw-e-ng
tla	tla
kotj-w-a	kotj-w-a
hore	hore
lets-ets-e	lets-ets-e
mo-hala	mo-hlaa
ho	ho
nomoro-ng	nomorong
ena	ena
n-ako-ng	n-akoo
eo	eo
tla	tla
bolel-l-w-a	bolel-l-w-a
hore	hore
bots-e	bots-e
hore	hore
di-ntlha	di-ntlha
tseo	tseo
di	di
sebets-a	sebets-a
le	le
hore	hore
tshwanel-eh-a	tshwanel-eh-a
se-bake-ng	ba-keng
sa	sa
mo-putso	mo-putso
ha	ha
kop-il-e	kop-il-e
mo-putso	mo-putso
N-ako-ng	n-akoo
tl-a-ng	tlang
tla	tla
bu-a	bu-a
le	le
wena	w-ean
ka	k-a
nyewe	ny-w-e
feela	feel-a
haebe	haebe
nomoro	nomoro
ya	y-a
khoutu	khoutu
eo	eo
f-an-e-ng	faneng
ka	k-a
yona	yona
nep-ah-ets-e	nep-ah-ets-e
mme	moe
le	le
bo-itsebiso	boitisebiso
ba	ba-
hao	hao
bo	bo
tsama-el-an-a	tsama-el-an-a
le	le
profaele	profaele
rekoto-ng	rekotong
tla	tla
kgaol-a	kgaool-a
mo-hala	mo-hlaa
ka	k-a
potlako	n-potlako
haebe	haebe
kgotso-f-ets-e	kgotso-f-ets-e
hore	hore
ha	ha
mo-tho	mo-tho
eo	eo
n-e-ng	neng
bu-a	bu-a
le	le
yena	y-ea
pejana	pejana
Hona	hon-a
ke	ke
mo-hato	mo-hato
wa	wa
n-tshireletso	n-tshireletso
mme	moe
ke	ke
ke	ke
wa	waa
fetol-w-a	fetol-w-a
Ha	ha
tlaleh-a	tlaleh-a
bo-tlokotsebe	bo-tlokotsebe
ka	k-a
mo-kgwa	mo-kgwa
wa	waa
elektroniki	elektroniki
tla-ts-a	tla-ts-a
foromo	foromo
ya	y-a
ho	ho
f-uw-a	f-uw-a
ma-ikutlo	ma-ikutlo
weposaete-ng	weposaeteng
ya	y-a
SAPS	saps
Ho	ho
tla	tla
hlah-a	hlaha
nomoro	nomoro
ya	y-a
referense	referense
hang	hang
ho	ho
b-a	ba
rom-el-e	rom-el-e
foromo	foromo
tla	tla
hok-ah-an-a	hok-ah-an-a
le	le
yuniti	yuniti
tshwane-ts-e-ng	tshwane-ts-e-ng
ya	y-a
di-patlisiso	di-patlisiso
se-bake-ng	ba-keng
sa	sa
ho	ho
sal-a	sal-a
taba	taba
mo-rao	mo-rao
ka	k-a
n-kopo	n-kopo
ya	y-a
hore	hore
ba	ba-
f-an-e	fane
ka	k-a
tlaleho	n-alaho
ya	y-a
ho	ho
qal-a	qal-a
di-hore-ng	di-horeng
tse	tse
mme	moe
se-phetho	se-phetho
sa	sa
di-phuputso	di-phuputso
sona	son-a
se	se
tsw-e	tsw-e
ka	k-a
potlako	n-potlako
ka	k-a
ho	ho
y-a	y-a
ka	k-a
moo	mo-o
ho	ho
ka	k-a
kgon-eh-a-ng	kgon-eh-a-ng
Ha	ha
tshwanel-eh-a	tshwanel-eh-a
mme	moe
hape	hap-e
kop-il-e	kop-il-e
mo-putso	mo-putso
mo-fuputsi	mo-fuputsi
tla	tla
beh-a	beh-a
mo-putso	mo-putso
le	le
n-tshebetso	tshebetso
ya	y-a
ho	ho
tleleim-a	tlele-ima
ka	k-a
ho	ho
y-a	y-a
ka	k-a
Ha	ha
mo-putso	mo-putso
s-e	se
lok-il-e	lok-il-e
ba	ba-
ba	ba
tla	tla
i-tea-ny-a	i-tea-ny-a
le	le
wena	wen-a
ho	ho
hloph-is-ets-a	hloph-is-ets-a
ho	ho
lesh-w-a	lesh-w-a
Ke	ke
em-e	em-e
ka	k-a
pele	pele
ho	ho
lona	lona
bo-siu-ng	bo-isung
bona	bo-na
di-lemo-ng	di-lemong
tse	tse
ho	ho
tloh-a	tloh-a
ha	ha
mo-presidente	mo-presidente
Nelson	nelson
Rolihlahla	rol-ih-aha
Mandela	mandela
n-e	ne
tsw-a	tswa
n-kgoleho-ng	n-kgolehong
Re	re
kgeth-il-e	kgeth-il-e
le-tsatsi	le-tsatsi
lena	le-na
l-e	le
la	la
ho	ho
bits-a	bits-a
Palamente	palamente
ya	y-a
N-Kopanelo	n-kopanelo
ho	ho
ets-a	ets-a
n-puo	n-puo
mabapi	ma-bapi
le	le
ma-emo	ma-emo
se-tjhaba	se-tjhaba
ho	ho
ketek-a	ketek-a
mo-tsotso	mo-tsotso
ona	ona
wa	waa
bo-hlokwa	bohlookwa
feto-ts-e-ng	feto-ts-e-ng
n-aha	n-aa
ya	y-a
rona	ron-a
Ho	ho
lokoll-w-a	lokol-l-w-a
ha	ha
Madiba	ma-diba
ho	ho
tl-is-its-w-e	tl-is-its-w-e
ke	ke
bo-itseko	bo-itseko
bo	bo
ma-tla	matla
ba	ba
ba-tho	ba-tho
ba	ba
Aforika	aforika
bo-rwa	bo-rwa
ba-tshwaruwa	batsh-w-ruwa
ba	ba-
di-polotiki	di-polotiki
ba	ba-
me-hle-ng	me-hleng
le	le
me-kaubere	me-kaubere
teng	teng
kwano	n-wwano
b-il-e	bile
di-paki	di-paki
tsa	tsa
seo	se-o
hobane	hobane
n-e	ne
l-e	le
n-karolo	n-karolo
ya	y-a
taba	taba
eo	eo
Le	le
tla	tla
hopol-a	hopol--a
l-e	le
ka	k-a
nnete	nnete
hore	hore
bo-holo	bo-holo
ba	ba
ba-tho	ba-tho
n-ahe-ng	n-ahng
ena	en-a
ka	k-a
me-kgahlelo	me-kgahlelo
fapan-e-ng	fapaneng
bo	bo
il-e	il-e
ba	ba-
arab-el-a	arab-el-a
ka	k-a
ma-ikemisetso	ma-ikemisetso
n-kgoeletso	n-kgoeletso
ya	y-a
ho	ho
hlok-is-a	hlok-is-a
n-aha	n-aa
bo-tsitso	bo-tsitso
le	le
ho	ho
ets-a	ets-a
bo-nnete	bo-nnete
ba	ba-
hore	hore
n-kgethollo	n-kgethllllo
ha	ha
sebets-e	sebets-e
Re	re
ketek-a	ketek-a
le-tsatsi	le-tsatsi
lena	le-na
le	le
ba-tshwaruwa	batsh-w-ruwa
ba	ba-
me-hle-ng	me-hleng
ba	ba-
di-polotiki	di-polotiki
bao	ba-o
re	re
ba	ba-
mem-m-e-ng	memmmeng
ka	k-a
ho	ho
i-kgeth-a	ikkgeth-a
hore	hore
ba	ba-
b-e	be
le	le
rona	ron-a
Re	re
amohel-a	amohel-a
ka	k-a
ho	ho
i-kgeth-a	ikkgeth-a
ba	ba-
tsw-a-ng	tswan-ng
mose	mo-s
hore	hore
ba	ba-
b-e	be
le	le
rona	ron-a
mona	mo-na
Helene	helen-e
Pastoors	pastoors
Michael	michael
Dingake	di-ngake
wa	waa
Botswana	bo-tswana
Mo-nghadi	mo-nghadi
Andimba	andimba
Toivo	n-toio
ya	y-a
Toivo	n-toovo
wa	wa
Swapo	swapopo
ya	y-a
Namibia	namibia
Re	re
thab-ets-e	thab-e-ts-e
hore	hore
di-tho	di-tho
tsa	tsa
mo-ifo	mo-ifo
wa	waa
mo-lao	mo-lao
wa	wa
nyewe	nyew-e
ya	y-a
Bo-hlabaphio	bo-hlabaphio
ya	y-a
Rivonia	rivonia
di	di
b-e	be
le	le
rona	ron-a
Joel	joel
Joffe	joffe
ya	y-a
s-e-ng	se-ng
ah-il-e	ah-il-e
London	london
le	le
Mo-ahlodi	mo-ahlodi
Arthur	arthur
Chaskalson	chaskalson
Hape	hap-e
re	re
hopol-a	hopol--a
le	le
ho	ho
leb-is-a	leb-is-a
n-hlompho	hlompho
ho	ho
Mo-nghadi	mo-nghadi
Harry	harry
Schwarz	schwaru
ya	y-a
hlok-ah-ets-e-ng	hlok-ah-ets-e-ng
beke	bek-e
fet-il-e-ng	fet-il-e-ng
Hara	hara
di-tho	di-tho
kaofela	kakfel-a
n-e	ne
l-e	le
se-tho	se-tho
sa	sa
mo-ifo	mo-ifo
wa	waa
n-tshireletso	n-tshireletso
wa	waa
nyewe	nyewe
ya	y-a
Rivonia	rivonia
Re	re
is-a	isa
di-teboho	di-teboho
ho	ho
me-tswalle	me-tswalle
le	le
bo-mphato	bo-mphato
ba	ba-
ma-tjhabe-ng	ma-tjhabeng
se-bake-ng	ba-keng
sa	sa
ho	ho
thus-a	thus-a
n-twe-ng	ntw-e-ng
ya	y-a
rona	ron-a
ya	y-a
ho	ho
fihl-el-l-a	fihl-el-l-a
n-tokoloho	n-tokoloho
Re	re
is-a	isa
n-kamohelo	n-kamohelo
i-kgeth-a-ng	i-kgeth-a-ng
ho	ho
le-lapa	lel-a-a
la	la
ha	ha
Mandela	mandela
le-lapa	lel-p-a
lena	le-na
b-il-e	bile
le-tshwao	le-tshwao
la	la
ho	ho
i-ntsh-a	in-tsh-a
se-hlabelo	se-hlabelo
ho	ho
bohle	bo-hle
ba	ba
utlw-il-e-ng	utlw-il-e-ng
bo-hloko	bo-hloko
ka	k-a
n-kgethollo	n-kgethllllo
Re	re
is-a	isa
ma-dume	ma-dume
ho	ho
bo-etapele	bo-etapele
ba	ba-
mo-kga	mo-kga
bus-a-ng	bus-a-ng
le	le
bo-mphato	bo-mphato
ba	ba
bona	bo-na
bao	ba-o
ho	ho
bona	bo-na
mo-rero	mo-rero
ono	n-n
l-e-ng	le-ng
wa	waa
bo-hlokwa	bohloo-w-a
ka	k-a
tsela	tsel-a
i-kgeth-a-ng	i-kgeth-a-ng
Ba-heso	ba-heso
le	le
me-tswalle	me-tswalle
le-tsatsi-ng	le-tsatsing
lena	le-na
le	le
i-kgeth-a-ng	i-kgeth-a-ng
re	re
bo-e-ts-e	bo-ets-e
re	re
lok-el-a	lok-el-a
ho	ho
ananel-a	ananel-a
nyehelo	nyehelo
ya	y-a
bo-etapele	bo-etapele
ba	ba
bao	ba-o
qetello-ng	qetellong
ba	ba-
il-e-ng	il-e-ng
ba	ba-
lemoh-a	lemoh-a
hore	hore
n-kgethollo	n-kgethllllo
ha	ha
bo-kamoso	bo-kamoso
N-tumel-l-e-ng	ntum-el-l-e-ng
hore	hore
ke	ke
hlah-is-e	hlah-is-e
n-karolo	n-karolo
bap-ets-w-e-ng	bap-e-ts-w-e-ng
ke	ke
mo-presidente	mo-presidente
wa	waa
me-hle-ng	me-hleng
Botha	bottha
Ke	ke
yena	yen-a
ya	y-a
qad-il-e-ng	qad-il-e-ng
di-puisano	di-puisano
ka	k-a
n-kgonahalo	n-kgonahalo
ya	y-a
ho	ho
lokoll-a	lokol-l-a
ba-tshwaruwa	batsh-w-ruuwa
ba	ba
di-polotiki	di-polotiki
mo-presidente	mo-presidente
Botha	both-a
sebed-its-e	sebed-its-e
le	le
le-tona	le-tona
la	la
me-hle-ng	me-hleng
la	la
N-Toka	tok-a
Mo-nghadi	mo-nghadi
Kobie	kobie
Coetzee	coetze
ya	y-a
n-e-ng	neng
thus-w-a	thus-w-a
ke	ke
Ngaka	nga-a
Neil	neil
Barnard	barrard
le	le
Mike	mike
Louw	louw-a
Ba	ba-
bap-ets-e	ba-pets-e
n-karolo	n-karolo
ya	y-a
bo-hlokwa	bohloo-w-a
tsele-ng	tsel-e-ng
n-e-ng	neng
is-a	isa
n-tokoloho-ng	n-tokolohong
ya	y-a
Madiba	ma-diba
Ba-heso	ba-heso
ba	ba
hlomph-eh-il-e-ng	hlomph-eh-il-e-ng
Aforika	aforika
bo-rwa	bo-rwa
sa	sa
nts-e	nts-e
tla	tla
ananel-a	ananel-a
ka	k-a
bo-tlalo	bo-tlalo
n-karolo	n-karolo
ya	y-a
bo-hlokwa	bohlookwa
bap-ets-w-e-ng	bap-e-ts-w-e-ng
ke	ke
mo-poresidente	mo-poresidente
wa	waa
me-hle-ng	me-hleng
wa	wa
ANC	anc
wa	waa
Mphato	m-phhato
Oliver	oliver
Tambo	tamabo
ya	y-a
e-nts-e-ng	entss-e-ng
mo-theo	mo-theo
wa	waa
hore	hore
n-aha	n-aa
ena	en-a
b-e	be
mo-hlala	mo-hlala
motle	motle
wa	waa
n-tokoloho	n-tokoloho
le	le
demokerasi	demokerasi
Ke	ke
bo-etapele	bo-etapele
ba	ba
hae	ha-e
bo	bo
hlwahlwa	hlw-ah-w-a
n-tjhebelopele	n-tjhebelopele
le	le
n-pono	n-nono
hlak-il-e-ng	hlak-il-e-ng
tse	tse
e-nts-e-ng	ents-e-ng
hore	hore
ANC	anc
matla-fa-ts-e	ma-tlafa-ts-e
tsela	tsel-a
ya	y-a
di-tumellano	di-tumellano
tsa	tsa
di-therisano	di-therisano
bo-hlale	bo-hlale
ba	ba-
hae	hae
bo	bo
bon-ah-ets-e	bon-ah-ets-e
n-tumellano-ng	n-tumellanong
ya	y-a
Harare	ha-rare
eo	eo
ngo-ts-e-ng	ngo-ts-e-ng
le	le
ho	ho
et-el-l-a	et-el-l-a
pele	pele
Sena	se-na
ke	ke
sona	son-a
se	se
e-nts-e-ng	ents-e-ng
mo-theo	mo-theo
se-bake-ng	ba-keng
sa	sa
phatlalatso	n-phatlaatso
e-nts-e-ng	ents-e-ng
histori	histori
ya	y-a
mo-presidente	mo-presidente
de	de
Klerk	klerk
di-lemo-ng	di-lemong
tse	tse
tse	tse
fet-il-e-ng	fet-il-e-ng
Ka	k-a
sena	se-na
mo-presidente	mo-presidente
de	de
Klerk	klerk
bon-tsh-its-e	bon-tsh-its-e
se-bete	se-bete
le	le
bo-etapele	bo-etapele
bo	bo
hlwahlwa	hlwah--w-a
le-tsatsi-ng	le-tsatsing
lena	le-na
le	le
r-e	re
ke	ke
bo-el-e	bo-el-e
ke	ke
ananel-e	ananele
n-karolo	n-karolo
bap-ets-w-e-ng	bap-e-ts-w-e-ng
ke	ke
mo-fu	mo-fu
mo-fumahadi	mo-fumahadi
Helen	helen-
Suzman	suzman
Ke	ke
ka	k-a
n-ako	n-ako
telele	telel-e
l-e	le
le-ntswe	lentts-w-e
la	la
hae	hae
feela	feel-a
Palamente-ng	palamenteng
le	le
n-e-ng	neng
le	le
lw-an-el-a	lwanenla
di-phethoho	di-phethoho
Re	re
bo-el-a	bo-el-a
re	re
ananel-a	ananel-a
n-karolo	n-karolo
ya	y-a
mo-etapele	mo-etapele
wa	waa
mo-rena	mo-rena
Mangosuthu	mangosuthu
Buthelezi	buthelezi
eo	eo
le	le
yena	y-ea
lw-an-e-ts-e-ng	lw-an-e-ts-e-ng
ho	ho
lokoll-w-a	lokol-l-w-a
ha	ha
Madiba	ma-diba
le	le
n-tokoloho	n-tokoloho
ya	y-a
ba-tshwaruwa	batsh-w-ruwa
ba	ba-
bang	bang
ba	ba
di-polotiki	di-polotiki
le	le
ho	ho
kgutl-a	kgutl-a
ha	ha
ba-balehi	babalehi
ba	ba-
di-polotiki	di-polotiki
Re	re
sa	sa
bo-el-a	bo-el-a
re	re
pheth-a	pheth-a
ho	ho
leboh-a	leboh-a
ho	ho
tloh-a	tloh-a
bo-tebo-ng	bo-tebong
ba	ba-
di-pelo	di-pelo
tsa	tsa
rona	ron-a
ba	ba
di-naha	di-naha
tsa	tsa
ma-tjhabe-ng	ma-tjhabeng
se-bake-ng	ba-keng
sa	sa
tshehetso	tshehetso
ya	y-a
bona	bo-na
sa	sa
thekes-el-e-ng	thekeseleng
n-twe-ng	ntw-e-ng
ya	y-a
rona	ron-a
