la-oll-a	Laoll-a
ets-a-ng	ets-a-ng
bo-tlokotsebe	bo-tlokotsebe
mmoho	mo-mho
le	le
me-sebetsi	me-sebetsi
ya	y-a
bona	bon-a
di-tho	di-tho
tsa	ts-a
se-tjhaba	se-tjhaba
di	di
thus-w-a	thus-w-a
ke	ke
ba-sebetsi	ba-sebetsi
ba	b-a
di-tsi-ng	di-tsing
tsena	tsen-a
tseo	tseo
lets-ets-a-ng	le-ts-ets-a-ng
ho	ho
tsona	tson-a
ba	b-a
rup-el-l-ets-w-e-ng	rup-el-l-ets-w-e-ng
hantle	hantle
haholo	haholo
di-tabe-ng	di-tabeng
tsa	ts-a
di-puisano	di-pumisano
tsa	ts-a
ho	ho
ets-a	ets-a
di-patlisiso	di-patlisiso
Hona	ohona
ho	ho
dumel-l-a	dumel-l-a
hore	hore
tseb-is-e	tsebise
ba	b-a
di-tshebeletso	di-tshebeletso
tsa	ts-a
se-polesa	se-polesa
sa	s-a
Afrika	Afrika
bo-rwa	bo-rwa
ka	k-a
me-sebetsi	me-sebetsi
ya	y-a
bao	bo-a
ba	b-a
ets-a-ng	ets-a-ng
bo-tlokotsebe	bo-tlokotsebe
ka	k-a
tsela	tsel-a
bolok-eh-il-e-ng	bo-lokeheling
hape	hape
se	se
n-a-ng	n-a-ng
tshabiso	tshabiso
ka	k-a
dul-a	dul-a
sa	s-a
hlah-is-e	hlah-is-e
le-bitso	le-bitso
la	l-a
hao	hao
ha	ha
batl-a	batl-a
Ba	Ba
latel-a-ng	latel-a-ng
me-hlala	me-hlala
ya	y-a
ba-tho	ba-tho
mmoho	mo-mho
le	le
di-agent	di-agete
tse	ts-e
sheb-an-e-ng	sheb-an-e-ng
le	le
bo-itsebiso	bo-itsebiso
ba	b-a
bao	bo-a
ba	b-a
lets-a-ng	le-ts-a-ng
ha	ha
ba	b-a
dumel-l-w-a	dumel-l-w-a
ho	ho
se-bake-ng	ba-keng
sa	s-a
ho	ho
ti-is-ets-a	ti-is-ets-a
hore	hore
bao	bo-a
ba	b-a
f-an-a-ng	fan-a-ng
ka	k-a
le-sedi	le-sedi
ha	ha
ba	b-a
tsej-w-e	tsej-w-e
N-Tlhahisolesedi-ng	Tlhahlesisohano
eo	eo
ho	ho
f-an-w-a-ng	f-an-w-a-ng
ka	k-a
yona	yon-a
rom-el-w-a	rom-el-w-a
ma-fokisi-ng	ma-fokising
El-a	E-l-a
hloko	hloko
hona	hon-a
ho	ho
ets-w-a	ets-w-a
feela	fele-a
ka	k-a
n-tumello	n-tumello
ya	y-a
hao	hao
ka	k-a
tlaleh-a	tlaleh-a
hape	hape
le	le
n-ketso	n-ketso
tsa	ts-a
bo-tlokotsebe	bo-tlokotsebe
ka	k-a
mo-kgwa	mo-kgwa
wa	wa
elektroniki	le-kerotiki
weposaete-ng	weposaeteng
ya	y-a
SAPS	SSAS
oo	oo
hape	hape
ti-is-ets-a-ng	ti-is-ets-a-ng
le	le
ho	ho
se	se
tsej-w-e	tsej-w-e
ha	ha
mo-tho	mo-tho
ya	y-a
tlaleh-a-ng	tlaleh-a-ng
n-tle	n-tle
le	le
haebe	habee
ho	ho
bole-ts-w-e	bole-ts-w-e
ka	k-a
mo-kgwa	mo-kgwa
mong	mo-ng
Lets-ets-a	le-tsetsa
nomoro	n-omoro
ya	y-a
l-e-ng	le-ng
ya	y-a
tl-a	tl-a
ho	ho
tata-is-a	tata-is-a
di-potso-ng	di-potsong
mme	mm-em
ha	ha
n-tlhahisolesedi-ng	tlhahlesisodisong
eo	eo
f-an-e-ng	f-an-e-ng
ka	k-a
yona	yon-a
ka	k-a
sebed-is-w-a	sebed-is-w-a
tl-a	tl-a
ho	ho
neh-a	neh-a
khoutu	khoutu
eo	eo
l-e-ng	le-ng
ya	y-a
hao	hao
l-e	le
mong	mo-ng
haebe	ba-ehe
n-tlhahisolesedi-ng	tlhahlesisodisong
eo	eo
ha	ha
eso	seo
b-e	be
le	le
mo-lemo	mo-lemo
ka	k-a
n-ako	n-kao
eo	eo
tla	tl-a
hlalos-a	hlalos-a
le-baka	le-baka
b-e	be
ho	ho
elets-a	elets-a
hore	hore
ka	k-a
fuman-a	fuman-a
jwang	jw-a-ng
di-ntlha	di-ntlha
tse	ts-e
ding	ding
N-Tlhahisolesedi-ng	Tlhahlesisohano
sebed-is-eh-a-ng	sebed-is-eh-a-ng
am-aha-ng-w-a	am-ah-an-w-a-ng
le	le
nomoro	n-omoro
ya	y-a
khoutu	khoutu
eo	eo
f-uw-e-ng	f-uw-e-ng
tla	tl-a
kotj-w-a	kotj-w-a
hore	hore
lets-ets-e	le-ts-ets-e
mo-hala	mo-hala
ho	ho
nomoro-ng	n-omorong
ena	en-a
n-ako-ng	n-kanong
eo	eo
tla	tl-a
bolel-l-w-a	bolel-l-w-a
hore	hore
bots-e	bo-tse
hore	hore
di-ntlha	di-ntlha
tseo	tseo
di	di
sebets-a	sebets-a
le	le
hore	hore
tshwanel-eh-a	tshwanel-eh-a
se-bake-ng	ba-keng
sa	s-a
mo-putso	mo-putso
ha	ha
kop-il-e	kopil-e
mo-putso	mo-putso
N-ako-ng	N-kgano
tl-a-ng	tl-a-ng
tla	tl-a
bu-a	bu-a
le	le
wena	wena
ka	k-a
nyewe	nyew-e
feela	fele-a
haebe	habee
nomoro	n-omoro
ya	y-a
khoutu	khoutu
eo	eo
f-an-e-ng	f-an-e-ng
ka	k-a
yona	yon-a
nep-ah-ets-e	nep-ah-ets-e
mme	mm-em
le	le
bo-itsebiso	bo-itsebiso
ba	b-a
hao	hao
bo	bo
tsama-el-an-a	tsama-el-an-a
le	le
profaele	profaele
rekoto-ng	rekotong
tla	tl-a
kgaol-a	n-kgalo
mo-hala	mo-hala
ka	k-a
potlako	n-potlako
haebe	habee
kgotso-f-ets-e	kgotso-fe-ts-e
hore	hore
ha	ha
mo-tho	mo-tho
eo	eo
n-e-ng	nne
bu-a	bu-a
le	le
yena	ey-a
pejana	pejan-a
Hona	ohona
ke	ke
mo-hato	mo-hato
wa	wa
n-tshireletso	tshireletso
mme	mm-em
ke	ke
ke	ke
wa	wa
fetol-w-a	fetol-w-a
Ha	hao
tlaleh-a	tlaleh-a
bo-tlokotsebe	bo-tlokotsebe
ka	k-a
mo-kgwa	mo-kgwa
wa	wa
elektroniki	le-kerotiki
tla-ts-a	tla-ts-a
foromo	rofomo
ya	y-a
ho	ho
f-uw-a	f-uw-a
ma-ikutlo	ma-ikutlo
weposaete-ng	weposaeteng
ya	y-a
SAPS	SSAS
Ho	oho
tla	tl-a
hlah-a	hlah-a
nomoro	n-omoro
ya	y-a
referense	rerefense
hang	hang
ho	ho
b-a	b-a
rom-el-e	rom-el-e
foromo	rofomo
tla	tl-a
hok-ah-an-a	hok-ahan-a
le	le
yuniti	yuniti
tshwane-ts-e-ng	tshwane-ts-e-ng
ya	y-a
di-patlisiso	di-patlisiso
se-bake-ng	ba-keng
sa	s-a
ho	ho
sal-a	sal-a
taba	tab-a
mo-rao	mo-rao
ka	k-a
n-kopo	kopo
ya	y-a
hore	hore
ba	b-a
f-an-e	f-an-e
ka	k-a
tlaleho	tlaleho
ya	y-a
ho	ho
qal-a	qal-a
di-hore-ng	di-horeng
tse	ts-e
mme	mm-em
se-phetho	se-phetho
sa	s-a
di-phuputso	di-phuputso
sona	son-a
se	se
tsw-e	ts-w-e
ka	k-a
potlako	n-potlako
ka	k-a
ho	ho
y-a	y-a
ka	k-a
moo	mo-o
ho	ho
ka	k-a
kgon-eh-a-ng	kgon-eh-a-ng
Ha	hao
tshwanel-eh-a	tshwanel-eh-a
mme	mm-em
hape	hape
kop-il-e	kopil-e
mo-putso	mo-putso
mo-fuputsi	mo-fuputsi
tla	tl-a
beh-a	beh-a
mo-putso	mo-putso
le	le
n-tshebetso	tshebetso
ya	y-a
ho	ho
tleleim-a	tlel-im-e
ka	k-a
ho	ho
y-a	y-a
ka	k-a
Ha	hao
mo-putso	mo-putso
s-e	se
lok-il-e	lok-il-e
ba	b-a
ba	b-a
tla	tl-a
i-tea-ny-a	i-tea-ny-a
le	le
wena	wena
ho	ho
hloph-is-ets-a	hloph-is-ets-a
ho	ho
lesh-w-a	lesh-w-a
Ke	Fe
em-e	eme
ka	k-a
pele	pele
ho	ho
lona	lon-a
bo-siu-ng	bo-ising
bona	bon-a
di-lemo-ng	di-lemong
tse	ts-e
ho	ho
tloh-a	tloh-a
ha	ha
mo-presidente	po-resisenetr
Nelson	N-Telons
Rolihlahla	Aolh-ilahl-a
Mandela	ma-nela
n-e	ne
tsw-a	ts-w-a
n-kgoleho-ng	n-kgolehong
Re	Re
kgeth-il-e	kgeth-il-e
le-tsatsi	le-tsatsi
lena	le-na
l-e	le
la	l-a
ho	ho
bits-a	bits-a
Palamente	Pamalente
ya	y-a
N-Kopanelo	N-Kaponelo
ho	ho
ets-a	ets-a
n-puo	n-puo
mabapi	ma-bapi
le	le
ma-emo	ma-emo
se-tjhaba	se-tjhaba
ho	ho
ketek-a	keketsa
mo-tsotso	mo-tsotso
ona	on-a
wa	wa
bo-hlokwa	bo-hlokwa
feto-ts-e-ng	feto-ts-e-ng
n-aha	nah-a
ya	y-a
rona	ron-a
Ho	oho
lokoll-w-a	lokol-l-w-a
ha	ha
Madiba	ma-bida
ho	ho
tl-is-its-w-e	tl-is-its-w-e
ke	ke
bo-itseko	bo-itseko
bo	bo
ma-tla	ma-tla
ba	b-a
ba-tho	ba-tho
ba	b-a
Aforika	Aforika
bo-rwa	bo-rwa
ba-tshwaruwa	ba-tshwaruwa
ba	b-a
di-polotiki	di-poloiti
ba	b-a
me-hle-ng	me-hleng
le	le
me-kaubere	me-karebuke
teng	teng
kwano	n-kwano
b-il-e	bil-e
di-paki	di-paki
tsa	ts-a
seo	se-o
hobane	hobane
n-e	ne
l-e	le
n-karolo	n-karolo
ya	y-a
taba	tab-a
eo	eo
Le	Le
tla	tl-a
hopol-a	hopol-a
l-e	le
ka	k-a
nnete	nnete
hore	hore
bo-holo	bo-holo
ba	b-a
ba-tho	ba-tho
n-ahe-ng	naheng
ena	en-a
ka	k-a
me-kgahlelo	me-kgahlelo
fapan-e-ng	fapan-e-ng
bo	bo
il-e	il-e
ba	b-a
arab-el-a	arab-el-a
ka	k-a
ma-ikemisetso	ma-ikemeisitso
n-kgoeletso	n-kgoeletso
ya	y-a
ho	ho
hlok-is-a	hlok-is-a
n-aha	nah-a
bo-tsitso	bo-tsitso
le	le
ho	ho
ets-a	ets-a
bo-nnete	bonnete
ba	b-a
hore	hore
n-kgethollo	n-kgethollo
ha	ha
sebets-e	se-betse
Re	Re
ketek-a	keketsa
le-tsatsi	le-tsatsi
lena	le-na
le	le
ba-tshwaruwa	ba-tshwaruwa
ba	b-a
me-hle-ng	me-hleng
ba	b-a
di-polotiki	di-poloiti
bao	bo-a
re	re
ba	b-a
mem-m-e-ng	mmemeng
ka	k-a
ho	ho
i-kgeth-a	i-kgeth-a
hore	hore
ba	b-a
b-e	be
le	le
rona	ron-a
Re	Re
amohel-a	amohel-a
ka	k-a
ho	ho
i-kgeth-a	i-kgeth-a
ba	b-a
tsw-a-ng	tsw-a-ng
mose	mo-se
hore	hore
ba	b-a
b-e	be
le	le
rona	ron-a
mona	mo-na
Helene	Ho-elene
Pastoors	Repotsao
Michael	di-hale
Dingake	di-ngake
wa	wa
Botswana	bo-tswana
Mo-nghadi	mo-ngahi
Andimba	di-nabi
Toivo	Toori
ya	y-a
Toivo	Toori
wa	wa
Swapo	Swapo
ya	y-a
Namibia	Aabidi
Re	Re
thab-ets-e	thabesetso
hore	hore
di-tho	di-tho
tsa	ts-a
mo-ifo	mo-fio
wa	wa
mo-lao	mo-lao
wa	wa
nyewe	nyew-e
ya	y-a
Bo-hlabaphio	bo-halhabou
ya	y-a
Rivonia	i-orina
di	di
b-e	be
le	le
rona	ron-a
Joel	olo
Joffe	fofo
ya	y-a
s-e-ng	se-ng
ah-il-e	ah-il-e
London	N-onono
le	le
Mo-ahlodi	mo-halodi
Arthur	ruthra
Chaskalson	N-Khasalonk
Hape	Rape
re	re
hopol-a	hopol-a
le	le
ho	ho
leb-is-a	leb-is-a
n-hlompho	hlophom
ho	ho
Mo-nghadi	mo-ngahi
Harry	ra-ruw
Schwarz	Swahcr
ya	y-a
hlok-ah-ets-e-ng	hlok-ah-ets-e-ng
beke	beke
fet-il-e-ng	fet-il-e-ng
Hara	Aar-a
di-tho	di-tho
kaofela	n-kaofel-a
n-e	ne
l-e	le
se-tho	se-tho
sa	s-a
mo-ifo	mo-fio
wa	wa
n-tshireletso	tshireletso
wa	wa
nyewe	nyew-e
ya	y-a
Rivonia	i-orina
Re	Re
is-a	si-a
di-teboho	di-teboho
ho	ho
me-tswalle	me-tswalle
le	le
bo-mphato	bo-phamoto
ba	b-a
ma-tjhabe-ng	ma-tjhabeng
se-bake-ng	ba-keng
sa	s-a
ho	ho
thus-a	thus-a
n-twe-ng	nt-w-e-ng
ya	y-a
rona	ron-a
ya	y-a
ho	ho
fihl-el-l-a	fihl-el-l-a
n-tokoloho	n-tokoloho
Re	Re
is-a	si-a
n-kamohelo	n-kamohelo
i-kgeth-a-ng	i-kgeth-a-ng
ho	ho
le-lapa	le-lapa
la	l-a
ha	ha
Mandela	ma-nela
le-lapa	le-lapa
lena	le-na
b-il-e	bil-e
le-tshwao	le-tshwa
la	l-a
ho	ho
i-ntsh-a	in-tsh-a
se-hlabelo	se-hlabelo
ho	ho
bohle	bohle
ba	b-a
utlw-il-e-ng	utl-il-w-e-ng
bo-hloko	bo-hloko
ka	k-a
n-kgethollo	n-kgethollo
Re	Re
is-a	si-a
ma-dume	ma-mude
ho	ho
bo-etapele	bo-teabele
ba	b-a
mo-kga	mo-kga
bus-a-ng	bus-a-ng
le	le
bo-mphato	bo-phamoto
ba	b-a
bona	bon-a
bao	bo-a
ho	ho
bona	bon-a
mo-rero	mo-rero
ono	ono
l-e-ng	le-ng
wa	wa
bo-hlokwa	bo-hlokwa
ka	k-a
tsela	tsel-a
i-kgeth-a-ng	i-kgeth-a-ng
Ba-heso	ba-heso
le	le
me-tswalle	me-tswalle
le-tsatsi-ng	le-tsatsing
lena	le-na
le	le
i-kgeth-a-ng	i-kgeth-a-ng
re	re
bo-e-ts-e	bo-etse
re	re
lok-el-a	lok-el-a
ho	ho
ananel-a	ananel-a
nyehelo	n-Tehlelo
ya	y-a
bo-etapele	bo-teabele
ba	b-a
bao	bo-a
qetello-ng	qetelol-a-ng
ba	b-a
il-e-ng	il-e-ng
ba	b-a
lemoh-a	le-moha
hore	hore
n-kgethollo	n-kgethollo
ha	ha
bo-kamoso	bo-kamoso
N-tumel-l-e-ng	Putel-l-e-ng
hore	hore
ke	ke
hlah-is-e	hlah-is-e
n-karolo	n-karolo
bap-ets-w-e-ng	bap-ets-w-e-ng
ke	ke
mo-presidente	po-resisenetr
wa	wa
me-hle-ng	me-hleng
Botha	bo-tha
Ke	Fe
yena	ey-a
ya	y-a
qad-il-e-ng	qad-il-e-ng
di-puisano	di-pumisano
ka	k-a
n-kgonahalo	n-kgonahalo
ya	y-a
ho	ho
lokoll-a	lok-ol-l-a
ba-tshwaruwa	ba-tshwaruwa
ba	b-a
di-polotiki	di-poloiti
mo-presidente	po-resisenetr
Botha	bo-tha
sebed-its-e	sebed-is-e
le	le
le-tona	le-tona
la	l-a
me-hle-ng	me-hleng
la	l-a
N-Toka	N-koka
Mo-nghadi	mo-ngahi
Kobie	N-Pobi
Coetzee	Coetere
ya	y-a
n-e-ng	nne
thus-w-a	thus-w-a
ke	ke
Ngaka	N-Kgaka
Neil	Teli
Barnard	Arabran
le	le
Mike	di-ke
Louw	Louw
Ba	Ba
bap-ets-e	ba-petse
n-karolo	n-karolo
ya	y-a
bo-hlokwa	bo-hlokwa
tsele-ng	tse-l-e-ng
n-e-ng	nne
is-a	si-a
n-tokoloho-ng	n-tokolohong
ya	y-a
Madiba	ma-bida
Ba-heso	ba-heso
ba	b-a
hlomph-eh-il-e-ng	hlophem-il-e-ng
Aforika	Aforika
bo-rwa	bo-rwa
sa	s-a
nts-e	nts-e
tla	tl-a
ananel-a	ananel-a
ka	k-a
bo-tlalo	bo-tlalo
n-karolo	n-karolo
ya	y-a
bo-hlokwa	bo-hlokwa
bap-ets-w-e-ng	bap-ets-w-e-ng
ke	ke
mo-poresidente	mo-poresedine
wa	wa
me-hle-ng	me-hleng
wa	wa
ANC	CDA
wa	wa
Mphato	ma-photo
Oliver	Prile
Tambo	Sabo
ya	y-a
e-nts-e-ng	en-ts-e-ng
mo-theo	mo-theo
wa	wa
hore	hore
n-aha	nah-a
ena	en-a
b-e	be
mo-hlala	mo-hlala
motle	mo-tle
wa	wa
n-tokoloho	n-tokoloho
le	le
demokerasi	me-kerosadi
Ke	Fe
bo-etapele	bo-teabele
ba	b-a
hae	hae
bo	bo
hlwahlwa	hlwah-w-a
n-tjhebelopele	tjhebekelolo
le	le
n-pono	n-poo
hlak-il-e-ng	hlak-il-e-ng
tse	ts-e
e-nts-e-ng	en-ts-e-ng
hore	hore
ANC	CDA
matla-fa-ts-e	ma-tlafatse
tsela	tsel-a
ya	y-a
di-tumellano	di-tumellano
tsa	ts-a
di-therisano	di-therisano
bo-hlale	bo-hlale
ba	b-a
hae	hae
bo	bo
bon-ah-ets-e	bo-nahetse
n-tumellano-ng	n-tumellanong
ya	y-a
Harare	Arareba
eo	eo
ngo-ts-e-ng	ngo-ts-e-ng
le	le
ho	ho
et-el-l-a	et-el-l-a
pele	pele
Sena	se-an
ke	ke
sona	son-a
se	se
e-nts-e-ng	en-ts-e-ng
mo-theo	mo-theo
se-bake-ng	ba-keng
sa	s-a
phatlalatso	phatlalatso
e-nts-e-ng	en-ts-e-ng
histori	hirotsi
ya	y-a
mo-presidente	po-resisenetr
de	De
Klerk	N-Krelk
di-lemo-ng	di-lemong
tse	ts-e
tse	ts-e
fet-il-e-ng	fet-il-e-ng
Ka	Ja
sena	se-an
mo-presidente	po-resisenetr
de	De
Klerk	N-Krelk
bon-tsh-its-e	bon-tshits-e
se-bete	se-bete
le	le
bo-etapele	bo-teabele
bo	bo
hlwahlwa	hlwah-w-a
le-tsatsi-ng	le-tsatsing
lena	le-na
le	le
r-e	re
ke	ke
bo-el-e	bo-ele
ke	ke
ananel-e	ananele
n-karolo	n-karolo
bap-ets-w-e-ng	bap-ets-w-e-ng
ke	ke
mo-fu	mo-fu
mo-fumahadi	mo-fumahadi
Helen	Hehelo
Suzman	Suman
Ke	Fe
ka	k-a
n-ako	n-kao
telele	te-el-l-e
l-e	le
le-ntswe	len-ts-w-e
la	l-a
hae	hae
feela	fele-a
Palamente-ng	pamalenets-e
le	le
n-e-ng	nne
le	le
lw-an-el-a	la-wanel
di-phethoho	di-phethoho
Re	Re
bo-el-a	bo-el-a
re	re
ananel-a	ananel-a
n-karolo	n-karolo
ya	y-a
mo-etapele	mo-etaele
wa	wa
mo-rena	mo-rena
Mangosuthu	ma-ngotshu
Buthelezi	buthelei
eo	eo
le	le
yena	ey-a
lw-an-e-ts-e-ng	lwane-ts-e-ng
ho	ho
lokoll-w-a	lokol-l-w-a
ha	ha
Madiba	ma-bida
le	le
n-tokoloho	n-tokoloho
ya	y-a
ba-tshwaruwa	ba-tshwaruwa
ba	b-a
bang	b-a-ng
ba	b-a
di-polotiki	di-poloiti
le	le
ho	ho
kgutl-a	kgutl-a
ha	ha
ba-balehi	ba-balehi
ba	b-a
di-polotiki	di-poloiti
Re	Re
sa	s-a
