li-fuman-e	li-fum-an-e
li-thintanis-w-a	li-thint-an-is-w-a
na-i-khodi	na-i-khodi
o-nikelw-e	o-nik-el-w-e
yo-na	ya-on-
u-za-kubawiwa	u-zaku-baw-iw-a
bona	bo-na
u-dosele	u-dos-el-e
i-crime	i-rime
e-na-u-m-borweni	e-nomboweni
e-ithi08600	e-thifiko
e-i-si-khathi-ini	e-si-khathini
u-ku-funisis-a	u-ku-funis-is-a
bona	bo-na
i-lu-az-i	i-li-az-w-a
la-kho	la-kho
li-b-e	li-b-e
na-i-rhelebho	na-i-rhebhelo
ingabe	i-nga-b-e
u-fan-el-e	u-fan-el-e
ku-fuman-a	ku-fum-an-a
u-m-vuzo	u-mu-vuzo
u-wubawile	u-wu-ba-w-el-i
u-m-vuzo	u-mu-vuzo
nga-u-mu-so	nga-u-mu-so
u-za-kukhulumisana	u-zaku-khumul-is-an-a
na-we	na-we
ku-phel-a	ku-phel-a
nga-u-m-landu	nga-u-mu-landu
y-e-khodi	ya-i-khodi
o-yinikeleko	o-yi-i-nikeleko
nga-i-lungileko	nga-i-li-nguleko
u-ku-zi-fanisa	u-ku-zi-fan-is-a
kwa-kho	kwa-kho
ku-khambelan-a	ku-ku-hambal-en-a
na-i-hlathululo	na-i-li-hlahulutho
e-serekhod-ini	e-i-serhokanidi
u-za-kuphelisa	u-zaku-phel-is-a
u-neqiniso	u-neqiniso
lo-i-kobana	la-u-ku-bana
a-ku-suw-e	a-ku-su-w-e
o-dose	o-dos-e
e-u-ku-thom-a-ini	e-u-ku-thom-a-ini
leli	leli
l-e-zo-kuvikela	l-e-zo-ku-vek-al-a
a-nge-ze	a-ngez-e
k-w-akhulunyisw-an-a	kwa-u-khulunyanis-w-a
nga-lo	nga-lo
u-bik-a	u-bik-a
u-bu-lelesi	u-bulel-is-e
nga-ukweelektroniki	nga-u-kweentjekoliki
zalis-a	za-lis-a
la-u-mu-biko	la-u-mu-biko
eli-thol-akal-a	eli-thol-akal-a
ku-webhsayithi	kwa-u-bu-sebhathi
i-za-kuvezwa	i-zaku-vez-w-a
u-thumel-e	u-thum-el-e
i-crime	i-rime
i-za-kudlulisela	i-zaku-dlul-is-el-a
i-lu-az-i	i-li-az-w-a
e-yunith-ini	e-yi-nthuni
e-pheny-ako	e-i-li-phanyeko
bona	bo-na
i-pheny-e	i-li-phenye
nga-i-si-bawo	nga-i-si-bawo
i-buy-e	i-buy-e
i-leth-e	i-leth-e
u-mu-biko	u-mu-biko
wa-u-ku-thom-a	wa-u-ku-thom-a
ku-nga-ka-phel-i	ku-nga-phakel-i
a-ma-24	a-ma-2%
ka-nye	ka-nye
na-u-mu-phumela	na-u-mu-phumela
w-e-phenyo	w-e-i-hlanobi
nga-u-ku-rhaba	nga-u-ku-bhara
u-fanelek-a	u-fan-el-ek-a
u-ba-w-e	u-ba-w-e
u-m-vuzo	u-mu-vuzo
i-si-phath-is-w-a	i-si-phath-is-w-a
esi-pheny-ako	e-si-phenyako
si-zakuqunt-a	si-zaku-qunt-a
nga-u-m-vuzo	nga-u-mu-zo
ka-nye	ka-nye
eza-ku-sebenz-a	e-zaku-sebenz-a
e-ku-khutjhw-eni	e-u-ku-khutjh-w-a-ini
kwa-wo	kwa-wo
nga-u-ku-y-a	nga-u-ku-y-a
o-kuyinational	oku-yi-i-n-thalani
lokha	lo-kha
u-m-vuzo	u-mu-vuzo
u-lu-ngile	u-lu-ngil-e
i-crime	i-rime
i-za-kuthinta	i-zi-kathuth-a
u-ku-hlel-a	u-ku-hlel-a
u-ku-bhad-el-w-a	u-ku-bhad-el-w-a
kwa-wo	kwa-wo
ngi-jam-e	ngi-jam-e
phambi	phambi
kwa-inu	kwe-ny
na-mhlanjesi	na-a-ma-hlengisi
e-i-n-tambama	e-na-matbama
nga-i-m-va	nga-i-n-vama
kwa-i-mi-nyaka	kwa-i-mi-nyaka
s-e-lokho	la-i-si-kholo
Mandela	ma-ndela
a-phum-a	a-phum-a
e-i-li-jele	e-i-leje
si-kheth-e	si-kheth-e
i-langeli	i-li-ngal-e
njenga-lelo	njenga-la-li-lo
l-o-i-kubiza	la-u-ku-biz-a
i-hlalohlanganisela	i-hlahlangal-enis-a
la-i-zin-ndlu	la-i-zi-ndlu
u-kwethul-a	u-ku-eth-w-a
i-khulumo	i-ku-lumo
u-ku-giding-a	u-ku-giding-a
u-m-zuzu	u-zu-muzu
w-o-i-m-lando	w-o-i-m-landlo
o-watjhugulula	a-wa-u-tjhugul-a
k-wa-kamadib-a	kwa-a-ka-ambadi
kwa-ba-mphumel-a	kwa-a-ma-bhumpela
w-o-i-kungabuyeli	wa-u-ku-bunga-el-w-a
kwa-a-ba-ntu	kwa-a-ba-ntu
b-e-sewula	be-se-wul-a
i-i-m-botjhwa	i-mi-bjhowabo
na-bomakadebona	na-ba-mabondekalo
b-e-pi	be-pi
ba-l-okh-a	ba-lokh-a
esi-na-bo	esi-nabo
na-mhlanjesi	na-a-ma-hlengisi
ba-kubon-a	ba-u-ku-ban-a
lokho	lo-kho
ngombana	nga-u-mu-bana
ba-b-eyingceny-e	ba-benyengis-e
ya-lokho	ya-lokho
e-gad-e	e-ded-a
ku-enzek-a	ku-enz-ek-a
n-izakukhumbul-a	ni-zaku-khumul-a
ukobana	u-ku-bona
i-i-n-qubuthu	i-ni-thumuzu
le	le
nga-u-kweenhlangano	nga-u-kweenganth-ana
za-bo	za-bo
ba-ziphendulel-a	ba-zi-phandelel-i
nga-u-ku-yel-el-a	nga-u-ku-yel-el-a
i-li-bizelo	i-zi-belo
la-u-ku-enz-a	la-u-ku-enz-a
i-n-gabuseki	i-nga-bus-ek-i
na-u-ku-th-i	na-u-ku-th-i
i-bandlululo	i-bandlululo
si-giding-a	si-gidinga
i-langeli	i-li-ngal-e
n-eembotjhw-a	na-i-mi-jabetho
za-lokha	za-lokh-a
e-sizimem-e	e-si-zim-em-e
nga-u-ku-khethekileko	nga-u-ku-kheth-ek-el-ek-a
ku-o-ba-ana	ku-o-ban-a
zi-zo-hlanganyele	zi-zo-hlanganel-el-a
na-thi	na-thi
na-mhlanjesi	na-a-ma-hlengisi
s-amukel-a	sa-mu-kel-a
nga-u-ku-khethekileko	nga-u-ku-kheth-ek-el-ek-a
labo	labo
a-ba-theth-e	a-ba-theth-e
i-khambo	i-khambo
lo-i-kusuka	la-u-ku-suk-a
be-z-a	bez-a
lapha	la-ph-a
u-helene	u-hel-el-e
u-m-i-chael	u-mi-hled-a
b-e-botswana	b-e-bo-siwatana
u-nom	u-mu-no
a-n-dimb-a	a-na-i-dimba
w-e-hlangano	w-e-hlangano
y-e-swapo	y-e-sewa
e-na-mibia	e-nami-bi-a
si-thab-a	si-thab-a
khulu	khulu
n-gobukhon-a	nga-u-ku-bhon-a
b-e-siqhema	ba-i-si-qhema
s-e-zo-mthetho	s-e-zo-methotho
e-sa-si-jam-el-e	e-si-a-ma-sel-e
i-i-m-botjhwa	i-mi-jhobawo
e-mlandw-ini	e-ma-lund-a-ini
w-o-i-kuvukelwa	wa-u-ku-vuk-el-w-a
w-e-rivonia	w-e-i-vinto
u-lord	u-rodl
o-sel-e	o-sel-e
a-nzinz-e	a-nza-nze
e-i-london	e-i-londo
na-i-jaji	na-i-ja-ji
si-khumbul-a	si-khumbul-a
besi-dlulis-e	ba-i-si-dlulise
ya-ithu	ya-i-thu
ku-nom.harry	kwa-u-mu-rhona
nga-i-tjhudwelimbi	nga-i-tjhugulisewo
o-sitjhiye	o-sitjhiye
e-pha-s-ini	e-phas-ini
ndi-ev-ek-e	nga-ek-ek-e
hlanga-ana	hlangan-a
be-k-alilung-a	b-e-ka-lingul-a
b-e-zo-mthetho	b-e-zo-mthetho
e-mlandw-ini	e-ma-lund-a-ini
w-erivoni-a	w-e-i-vinto
si-dlul-is-a	si-dlul-is-a
u-ku-thokoz-a	u-ku-thokoz-a
kwa-ithu	kwa-i-thu
ku-bangani	ku-a-ba-nga-ini
ba-ithu	be-thu
na-makhomreyidi	na-mamakhorideli
e-entjhabatjhab-eni	e-njabatjhetjhaniw-e
na-thi	na-thi
ku-o-ba-ana	ku-o-ban-a
si-thol-e	si-thol-e
i-khululeko	i-ku-luleko
s-amukel-a	sa-mu-kel-a
nga-u-ku-khethekileko	nga-u-ku-kheth-ek-el-ek-a
u-mu-ndeni	u-mu-ndeni
wa-uku-amandel-a	w-a-ka-amandle
babe	ba-b-e
nga-u-ku-zi-nik-el-a	nga-u-ku-zi-nikel-a
kw-a-banengi	kwa-a-ba-nengi
a-ba-qalan-a	a-ba-qal-an-a
na-u-bu-khali	na-u-ku-bhil-a
b-e-bandlululo	b-e-bandlululo
si-l-otjh-is-a	si-totjh-ila
b-e-hlangano	ba-i-li-hlangano
e-bus-ako	e-bus-ako
na-a-ba-lingani	na-a-ba-lingani
b-omfelandawony-e	b-o-i-m-randelenda
labo	labo
u-mu-nyany-a	u-mu-nyana
lo	lo
o-ngokhetheke	o-nga-u-khethek-e
khulu	khulu
na-kibo	na-kobi
b-a-kwethu	ba-ku-th-w-e
na-bang-a-ni	na-a-ba-ngani
e-i-langeni	e-li-nang-e-ini
e-i-li-khethekilekweli	e-i-khlithekel-ek-ili
ku-fun-el-e	ku-fun-el-e
si-khumbul-e	si-khumbul-e
i-n-ndima	i-i-n-dami
y-a-labo	ya-labo
a-ba-bebarholi	aba-ba-borh-el-i
a-bapheth-a	aba-pheth-a
ngo-ku-bon-a	nga-u-ku-bon-a
bonyana	ba-u-n-nya-a
i-bandlululo	i-bandlululo
l-a-lingenalo	la-i-li-ngangelo
i-ku-sas-a	i-ku-sas-a
ngi-vumel-a-ni	ni-vim-el-an-a
ng-itshway-e	ngi-thway-e
i-n-ndima	i-i-n-dami
e-yadlalw-a	e-ya-dlal-w-a
ngu-ye	ngu-ye
o-wathom-a	o-wa-thom-a
nga-i-kghonakalo	nga-i-khongakalo
y-o-i-kutjhatjhululwa	y-o-i-kutjhutjhalwa
ze-ze-polotiki	z-e-zo-politeko
ub-oth-a	u-bu-th-a
waye-gad-e	y-a-endabe
a-sebenz-a	a-sebenz-a
wa-lokh-a	wa-lokh-a
w-e-zo-bulungiswa	w-e-zo-bulungisw-a
u-nom	u-mu-no
k-obi-e	ko-bi-e
o-wayesizwa	o-wayasez-i
ng-udorhoder-e	ngu-dorherode
na-u-nom	na-omu-nye
lo-u-uw	lowu
ba-dlal-a	ba-dlal-a
i-n-ndima	i-i-n-dami
e-ya-rhol-el-a	e-yarholel-a
e-ku-tjhatjhululw-eni	e-ku-tjhutjhul-an-ile
k-wa-kamadib-a	kwa-a-ka-ambadi
b-a-kwethu	ba-ku-th-w-e
a-ba-hloniphekileko	aba-hlonikhethileko
ku-sa-fanel-e	ku-sa-fan-el-e
i-vum-e	i-vum-e
i-n-ndima	i-i-n-dami
e-yadlalw-a	e-ya-dlal-w-a
wa-lokh-a	wa-lokh-a
u-khomreyidi	u-kurhomeyidi
li-Oliver	o-li-vel-i
Tambo	ma-tjo
o-wakh-a	o-wakh-a
i-si-sekelo	i-si-sekelo
e-senz-a	e-si-enz-a
ku-o-ba-ana	ku-o-ban-a
le	le
i-b-e	i-b-e
esi-hle	e-si-hle
na-i-n-tando	na-i-n-ntando
ya-en-nengi	ya-en-nge
ku-ab-a	ku-ab-a
w-o-i-burholi	w-o-i-burholi
ba-khe	ba-kh-e
obu-hle	o-bhul-e
khulu	khulu
u-ku-bonelaphambili	u-ku-bonaphel-an-il-a
kw-e-bhudango	kwa-i-bhungado
la-khe	la-kh-e
okwa-rhol-el-a	o-kwarorhlel-a
i-anc	i-can
ku-o-ba-ana	ku-o-ban-a
i-qinis-elel-e	i-qin-is-el-el-e
beku-fikelel-w-e	be-ku-fuk-el-el-w-e
e-i-si-phetho-ini	e-si-pheth-w-e-ni
s-e-mikhulumiswano	sa-i-mi-khumuluniso
u-ku-hlakaniph-a	u-ku-hlakath-in-a
kwa-khe	ku-akh-e
k-wabonakal-a	kwa-u-ba-kanal-a
nga-i-si-vumelwano	nga-i-si-vumelwano
s-eharar-e	s-e-rarhare
e-satlolw-a	e-si-tlolaw-a
be-s-ajanyel-w-a	be-sabanjel-w-a
ngu-ye	ngu-ye
kw-a-bangiso	kwa-a-ba-ngiso
i-si-enzo	i-si-enzo
lesi	lesi
esa-dosel-a	e-sa-dol-es-a
e-i-si-sekelweni	e-si-sekel-w-e-ni
s-e-simemezelo	sa-i-si-memezelo
e-i-sabamlando	e-sa-a-ba-landulo
s-a-kamongameli	s-a-kamamongeli
e-i-mi-nyaka-ini	e-i-mi-nyako-ini
wa-tjengis-a	w-e-tjangis-a
i-si-bindi	i-li-sibini
esi-khulu	esi-khulu
na-u-bu-rholi	na-u-bu-hlophi
o-buqakathekileko	obu-qakathek-el-iko
nga-i-langeli	nga-i-li-langeli
eli-khulu	eli-khulu
asi-khumbulen-i	a-si-khumbul-en-i
na-i-n-ndima	na-i-n-nda
e-yadlalw-a	e-ya-dlal-w-a
yi-i-hloko	yi-i-hloko
leya	leya
u-m-m.	u-mu-mi
Suzman	si-u-mu-anz-a
k-wathath-a	kwa-thath-a
i-si-khathi	i-si-khathi
esi-de	e-si-de
i-n-guye	i-nguye
kwa-phel-a	kwa-phel-a
n-gepalamend-e	nga-i-li-pamalende
o-wayefuna	o-wa-fuy-en-a
ku-benetjhuguluko	ku-enga-bu-thelumbe
si-khumbul-a	si-khumbul-a
na-i-n-ndima	na-i-n-nda
y-o-i-m-rholi	y-o-i-m-rholi
w-e-i-n-katha	wa-i-n-khatha
i-kosi	i-kosi
u-m-angosuthu	u-nga-u-mu-sutho
na-ye	na-ye
o-wa-enz-a	o-wu-enz-a
i-li-bizelo	i-zi-belo
lo-i-kutjhatjhululwa	l-o-i-kutjhutjhalwa
kw'-aka-madiba	kwa-a-ka-ambadi
na-ezin-nye	na-i-zi-nye
i-i-m-botjhwa	i-mi-bojhawo
ze-ze-polotiki	z-e-zo-politeko
no-ku-buyiselw-a	na-u-ku-buyis-el-w-a
kwa-labo	kwa-balo
aba-gad-e	aba-dag-e
b-a-sekudingisweni	ba-i-si-khengusis-a-ini
si-buy-e	si-buy-e
si-thokoz-e	si-thokoz-e
khulu	khulu
k-w-amanik-elel-a	kwa-a-ma-nikelel-a
e-u-mu-phakathi-ini	e-maphakathi
nga-i-sekelo	nga-i-si-ekelo
labo	labo
eli-nga-nakuzaza	eli-nga-ku-zan-ak-a
e-mzabalazw-eni	e-zambalaz-w-en-i
wa-ithu	wa-i-thu
i-i-n-khathezi	i-ni-khathezi
e-i-m-landweni	e-ma-lund-a-ini
wa-ithu	wa-i-thu
i-kghono	i-khongo
la-ithu	lethu
l-obuny-e	la-obu-nye
na-ngaphasi	na-ngaphasi
na-u-ku-tjheja	na-u-ku-tjheja
i-tjisakalo	i-tjarikalo
nga-phambi	nga-phambi
kwa-ezin-nye	kwa-i-li-zinye
si-nga-enz-a	si-nga-enz-a
oku-nengi	oku-nengi
e-i-n-yakeni	e-nanyek-i
wo-na	wa-on-
lo	lo
si-zoku-k-humbul-a	si-zo-ku-khumbul-a
i-hlangano	i-hlangano
y-o-i-bunye	ya-u-bu-nye
b-e-sewula	be-se-wul-a
e-i-yahlonywa	e-ya-hlony-w-a
nga-u-nyaka	nga-u-lu-nyaka
lokhu	lo-khu
ku-akh-a	kwa-kha
nga-u-ku-qakathekileko	nga-u-ku-kathakeleki
u-ku-nin-w-a	u-ku-nin-w-a
kwa-a-ba-ntu	kwa-a-ba-ntu
aba-nzima	aba-nazi
ku-hlangano	ku-hlangano
y-o-i-bunye	ya-u-bu-nye
le	le
ku-ab-a	kwa-ba
omu-khulu	a-u-mu-khulu
w-o-i-kutlanywa	wa-u-ku-tlony-a
kw-e-african	kw-e-farindi
nga-u-nyaka	nga-u-lu-nyaka
n-jengalokh-a	njenga-lokha
s-itshway-a	si-si-thwal-a
i-si-khathesi	i-si-khathis-e
kwa-u-lu-nyaka	ku-yo-i-naka
ku-fuz-e	ku-fuz-e
si-qal-e	si-qal-e
ku-o-ba-ana	ku-o-ban-a
i-bang-a	i-bang-a
e-i-si-likhambileko	e-i-si-khalimbeko
si-khumbul-a	si-khumbul-a
k-amadib-a	kwa-a-ma-diba
a-tjhatjhululw-ako	a-tjhutjhulakalo
na-kasithi	na-a-ka-thisi
ngi-ya-m-dzubhul-a	ngi-ya-u-bu-damulez-a
ngi-jam-e	ngi-jam-e
phambi	phambi
kwa-inu	kwe-ny
ngi-ng-asuy-e	ngi-nga-suy-e
u-m-porofidi	u-mu-porodi
kodwana	kwa-u-du-an-a
njenga-i-si-sebenzi	njenga-i-si-benzise
s-e-nu	se-nu
e-sizithob-ako	esi-zi-thob-ako
ni-n-a	ni-na
u-ku-zi-nikel-a	u-ku-zi-nikel-a
kwa-inu	kwe-ny
nga-u-ku-zi-nik-el-a	nga-u-ku-zi-nikel-a
o-ku-kghonakalise	oku-khongakal-ik-e
u-ku-bakhona	u-ku-bakhona
kwa-mi	kwa-imi
lapha	la-ph-a
na-mhlanjesi	na-a-ma-hlengisi
n-galokhok-e	nga-lokhok-e
ngi-bek-a	ngi-bek-a
i-mi-nyaka	i-mi-nyaka
y-a-mi	ya-i-mi-
a-i-si-eleko	e-i-si-eleko
e-i-zi-andla-ini	e-zand-el-ini
ze-nu.	na-zi
la	la
a-si-khuthaz-a	i-sakuthath-a
ku-o-ba-ana	ku-o-ban-a
be-ku-fik-e	ba-i-ku-fik-e
lapha	la-ph-a
si-fikelel-a	si-fik-el-el-a
kho-na	khona
e-a-ma-zinga-ini	e-a-ma-zinga-ini
wa-u-mu-phakathi	w-o-i-m-phakathi
o-ngakabhodwa	o-nga-khabawo
n-okudiny-w-a	na-u-ku-diny-w-a
a-ma-thuba	a-ma-thuba
e-i-mi-nyaka-ini	e-i-mi-nyako-ini
